observation_date,CEU7072000001
1990-01-01,7767.3
1990-02-01,7829.5
1990-03-01,7978.8
1990-04-01,8078.8
1990-05-01,8248.9
1990-06-01,8456.2
1990-07-01,8440.8
1990-08-01,8493.7
1990-09-01,8355.3
1990-10-01,8114.5
1990-11-01,8061.1
1990-12-01,8042.0
1991-01-01,7725.0
1991-02-01,7763.7
1991-03-01,7900.5
1991-04-01,8002.7
1991-05-01,8195.2
1991-06-01,8359.4
1991-07-01,8311.5
1991-08-01,8369.3
1991-09-01,8258.5
1991-10-01,8065.6
1991-11-01,8000.3
1991-12-01,7994.7
1992-01-01,7736.6
1992-02-01,7797.5
1992-03-01,7934.3
1992-04-01,8101.1
1992-05-01,8316.9
1992-06-01,8467.1
1992-07-01,8465.5
1992-08-01,8517.3
1992-09-01,8415.5
1992-10-01,8268.4
1992-11-01,8201.9
1992-12-01,8184.2
1993-01-01,7913.3
1993-02-01,8002.6
1993-03-01,8092.4
1993-04-01,8314.8
1993-05-01,8549.5
1993-06-01,8720.5
1993-07-01,8707.7
1993-08-01,8765.9
1993-09-01,8669.3
1993-10-01,8517.4
1993-11-01,8440.7
1993-12-01,8470.3
1994-01-01,8221.9
1994-02-01,8281.9
1994-03-01,8455.3
1994-04-01,8634.8
1994-05-01,8840.3
1994-06-01,9028.1
1994-07-01,9010.8
1994-08-01,9053.0
1994-09-01,8950.7
1994-10-01,8759.8
1994-11-01,8709.0
1994-12-01,8743.1
1995-01-01,8534.3
1995-02-01,8619.3
1995-03-01,8779.8
1995-04-01,8920.0
1995-05-01,9151.4
1995-06-01,9374.8
1995-07-01,9358.3
1995-08-01,9399.8
1995-09-01,9283.5
1995-10-01,9069.0
1995-11-01,8993.2
1995-12-01,9015.7
1996-01-01,8733.5
1996-02-01,8833.0
1996-03-01,9008.7
1996-04-01,9147.4
1996-05-01,9399.0
1996-06-01,9586.6
1996-07-01,9563.7
1996-08-01,9608.9
1996-09-01,9451.8
1996-10-01,9282.7
1996-11-01,9205.4
1996-12-01,9231.2
1997-01-01,8936.6
1997-02-01,9047.3
1997-03-01,9201.5
1997-04-01,9337.5
1997-05-01,9574.1
1997-06-01,9743.6
1997-07-01,9693.6
1997-08-01,9748.2
1997-09-01,9613.8
1997-10-01,9421.7
1997-11-01,9340.2
1997-12-01,9357.1
1998-01-01,9066.2
1998-02-01,9176.5
1998-03-01,9323.8
1998-04-01,9478.5
1998-05-01,9730.7
1998-06-01,9913.1
1998-07-01,9894.3
1998-08-01,9931.5
1998-09-01,9799.6
1998-10-01,9608.1
1998-11-01,9530.4
1998-12-01,9581.2
1999-01-01,9278.1
1999-02-01,9412.6
1999-03-01,9561.7
1999-04-01,9735.2
1999-05-01,9955.6
1999-06-01,10165.1
1999-07-01,10143.9
1999-08-01,10173.3
1999-09-01,10030.3
1999-10-01,9893.7
1999-11-01,9809.2
1999-12-01,9845.3
2000-01-01,9551.1
2000-02-01,9639.1
2000-03-01,9828.5
2000-04-01,9989.1
2000-05-01,10184.7
2000-06-01,10426.3
2000-07-01,10412.3
2000-08-01,10441.8
2000-09-01,10292.2
2000-10-01,10053.1
2000-11-01,10007.0
2000-12-01,10057.0
2001-01-01,9766.5
2001-02-01,9871.6
2001-03-01,9995.2
2001-04-01,10148.4
2001-05-01,10363.4
2001-06-01,10590.2
2001-07-01,10602.9
2001-08-01,10596.0
2001-09-01,10374.3
2001-10-01,10155.5
2001-11-01,10039.8
2001-12-01,10031.7
2002-01-01,9801.9
2002-02-01,9840.7
2002-03-01,9970.3
2002-04-01,10092.5
2002-05-01,10302.0
2002-06-01,10465.2
2002-07-01,10498.5
2002-08-01,10532.3
2002-09-01,10356.7
2002-10-01,10261.7
2002-11-01,10169.3
2002-12-01,10147.4
2003-01-01,9942.9
2003-02-01,9968.5
2003-03-01,10103.6
2003-04-01,10232.5
2003-05-01,10426.1
2003-06-01,10629.9
2003-07-01,10668.9
2003-08-01,10698.5
2003-09-01,10523.3
2003-10-01,10414.3
2003-11-01,10350.5
2003-12-01,10358.3
2004-01-01,10131.7
2004-02-01,10193.8
2004-03-01,10382.8
2004-04-01,10556.2
2004-05-01,10767.1
2004-06-01,10959.8
2004-07-01,10985.2
2004-08-01,10980.4
2004-09-01,10795.6
2004-10-01,10699.8
2004-11-01,10631.2
2004-12-01,10634.8
2005-01-01,10423.4
2005-02-01,10491.2
2005-03-01,10657.3
2005-04-01,10862.8
2005-05-01,11045.1
2005-06-01,11268.5
2005-07-01,11310.8
2005-08-01,11317.1
2005-09-01,11055.9
2005-10-01,10923.9
2005-11-01,10861.4
2005-12-01,10859.1
2006-01-01,10660.8
2006-02-01,10738.8
2006-03-01,10926.3
2006-04-01,11086.2
2006-05-01,11267.6
2006-06-01,11463.7
2006-07-01,11547.8
2006-08-01,11560.5
2006-09-01,11319.5
2006-10-01,11223.5
2006-11-01,11184.4
2006-12-01,11193.9
2007-01-01,10965.2
2007-02-01,11029.7
2007-03-01,11182.3
2007-04-01,11353.8
2007-05-01,11580.7
2007-06-01,11786.4
2007-07-01,11825.8
2007-08-01,11820.4
2007-09-01,11605.1
2007-10-01,11500.4
2007-11-01,11435.1
2007-12-01,11403.4
2008-01-01,11137.3
2008-02-01,11182.3
2008-03-01,11318.5
2008-04-01,11458.7
2008-05-01,11648.3
2008-06-01,11823.6
2008-07-01,11859.7
2008-08-01,11828.4
2008-09-01,11554.0
2008-10-01,11389.0
2008-11-01,11237.3
2008-12-01,11158.0
2009-01-01,10872.2
2009-02-01,10870.1
2009-03-01,10969.6
2009-04-01,11110.8
2009-05-01,11343.5
2009-06-01,11514.6
2009-07-01,11537.9
2009-08-01,11513.7
2009-09-01,11251.3
2009-10-01,11091.3
2009-11-01,10977.4
2009-12-01,10889.9
2010-01-01,10640.3
2010-02-01,10663.4
2010-03-01,10837.9
2010-04-01,11049.2
2010-05-01,11259.6
2010-06-01,11443.0
2010-07-01,11479.5
2010-08-01,11520.9
2010-09-01,11330.0
2010-10-01,11214.8
2010-11-01,11114.2
2010-12-01,11071.6
2011-01-01,10811.4
2011-02-01,10909.5
2011-03-01,11117.6
2011-04-01,11353.4
2011-05-01,11556.9
2011-06-01,11775.6
2011-07-01,11801.4
2011-08-01,11834.8
2011-09-01,11620.9
2011-10-01,11529.6
2011-11-01,11466.8
2011-12-01,11425.0
2012-01-01,11180.9
2012-02-01,11289.1
2012-03-01,11505.8
2012-04-01,11709.2
2012-05-01,11929.9
2012-06-01,12115.5
2012-07-01,12139.9
2012-08-01,12188.1
2012-09-01,12017.4
2012-10-01,11898.6
2012-11-01,11809.8
2012-12-01,11812.4
2013-01-01,11555.3
2013-02-01,11671.7
2013-03-01,11864.9
2013-04-01,12104.6
2013-05-01,12357.7
2013-06-01,12579.8
2013-07-01,12636.3
2013-08-01,12664.5
2013-09-01,12433.1
2013-10-01,12339.5
2013-11-01,12265.8
2013-12-01,12216.6
2014-01-01,11966.1
2014-02-01,12034.0
2014-03-01,12253.4
2014-04-01,12487.0
2014-05-01,12747.6
2014-06-01,12956.0
2014-07-01,12978.4
2014-08-01,12997.5
2014-09-01,12788.5
2014-10-01,12699.6
2014-11-01,12609.2
2014-12-01,12596.9
2015-01-01,12343.9
2015-02-01,12457.6
2015-03-01,12617.0
2015-04-01,12857.0
2015-05-01,13102.4
2015-06-01,13325.1
2015-07-01,13378.2
2015-08-01,13402.0
2015-09-01,13198.9
2015-10-01,13141.6
2015-11-01,13056.2
2015-12-01,13046.1
2016-01-01,12795.5
2016-02-01,12900.5
2016-03-01,13075.4
2016-04-01,13299.7
2016-05-01,13533.2
2016-06-01,13770.2
2016-07-01,13798.8
2016-08-01,13824.9
2016-09-01,13606.0
2016-10-01,13494.1
2016-11-01,13412.7
2016-12-01,13389.5
2017-01-01,13094.7
2017-02-01,13213.9
2017-03-01,13403.5
2017-04-01,13620.2
2017-05-01,13876.2
2017-06-01,14107.8
2017-07-01,14175.2
2017-08-01,14159.9
2017-09-01,13834.1
2017-10-01,13781.7
2017-11-01,13683.6
2017-12-01,13663.8
2018-01-01,13340.7
2018-02-01,13456.5
2018-03-01,13622.5
2018-04-01,13810.6
2018-05-01,14069.8
2018-06-01,14316.7
2018-07-01,14356.5
2018-08-01,14342.1
2018-09-01,14028.2
2018-10-01,13931.6
2018-11-01,13831.2
2018-12-01,13848.5
2019-01-01,13575.6
2019-02-01,13648.6
2019-03-01,13825.7
2019-04-01,14037.6
2019-05-01,14292.0
2019-06-01,14509.8
2019-07-01,14513.6
2019-08-01,14541.1
2019-09-01,14285.7
2019-10-01,14248.7
2019-11-01,14154.1
2019-12-01,14153.6
2020-01-01,13871.5
2020-02-01,14021.8
2020-03-01,13500.4
2020-04-01,7460.0
2020-05-01,8951.2
2020-06-01,10800.9
2020-07-01,11317.4
2020-08-01,11380.8
2020-09-01,11415.4
2020-10-01,11536.0
2020-11-01,11357.6
2020-12-01,10883.1
2021-01-01,10589.7
2021-02-01,10983.8
2021-03-01,11229.3
2021-04-01,11626.1
2021-05-01,12053.9
2021-06-01,12577.1
2021-07-01,12932.5
2021-08-01,12914.6
2021-09-01,12683.5
2021-10-01,12788.0
2021-11-01,12799.1
2021-12-01,12873.5
2022-01-01,12637.4
2022-02-01,12850.6
2022-03-01,13019.6
2022-04-01,13280.5
2022-05-01,13579.9
2022-06-01,13905.1
2022-07-01,14038.2
2022-08-01,14001.3
2022-09-01,13727.2
2022-10-01,13739.6
2022-11-01,13705.7
2022-12-01,13656.6
2023-01-01,13441.6
2023-02-01,13578.6
2023-03-01,13738.3
2023-04-01,13924.8
2023-05-01,14210.5
2023-06-01,14494.6
2023-07-01,14549.4
2023-08-01,14498.3
2023-09-01,14203.9
2023-10-01,14157.0
2023-11-01,14060.7
2023-12-01,14037.1
2024-01-01,13703.8
2024-02-01,13822.7
2024-03-01,13994.5
2024-04-01,14168.6
2024-05-01,14457.8
2024-06-01,14673.6
2024-07-01,14688.6
2024-08-01,14659.7
2024-09-01,14382.4
2024-10-01,14316.5
2024-11-01,14226.2
