observation_date,CEU6056100001
1990-01-01,4218.4
1990-02-01,4247.4
1990-03-01,4325.2
1990-04-01,4391.6
1990-05-01,4475.8
1990-06-01,4533.9
1990-07-01,4511.2
1990-08-01,4526.5
1990-09-01,4527.5
1990-10-01,4489.1
1990-11-01,4418.8
1990-12-01,4331.4
1991-01-01,4183.4
1991-02-01,4155.0
1991-03-01,4185.4
1991-04-01,4256.5
1991-05-01,4340.3
1991-06-01,4399.4
1991-07-01,4386.7
1991-08-01,4433.1
1991-09-01,4455.5
1991-10-01,4477.0
1991-11-01,4411.9
1991-12-01,4363.9
1992-01-01,4196.4
1992-02-01,4209.3
1992-03-01,4299.2
1992-04-01,4422.0
1992-05-01,4544.8
1992-06-01,4613.9
1992-07-01,4614.8
1992-08-01,4674.1
1992-09-01,4694.6
1992-10-01,4754.8
1992-11-01,4721.4
1992-12-01,4696.0
1993-01-01,4527.2
1993-02-01,4559.3
1993-03-01,4648.0
1993-04-01,4795.6
1993-05-01,4911.8
1993-06-01,4979.2
1993-07-01,5000.5
1993-08-01,5064.9
1993-09-01,5088.3
1993-10-01,5182.3
1993-11-01,5160.5
1993-12-01,5122.0
1994-01-01,4918.2
1994-02-01,4956.5
1994-03-01,5093.8
1994-04-01,5265.1
1994-05-01,5388.3
1994-06-01,5502.3
1994-07-01,5551.1
1994-08-01,5627.5
1994-09-01,5661.3
1994-10-01,5734.4
1994-11-01,5741.9
1994-12-01,5682.1
1995-01-01,5455.8
1995-02-01,5498.3
1995-03-01,5584.7
1995-04-01,5678.9
1995-05-01,5774.0
1995-06-01,5855.3
1995-07-01,5859.1
1995-08-01,5963.0
1995-09-01,6011.4
1995-10-01,6061.1
1995-11-01,6017.4
1995-12-01,5956.8
1996-01-01,5677.2
1996-02-01,5794.4
1996-03-01,5886.4
1996-04-01,6011.8
1996-05-01,6139.2
1996-06-01,6247.6
1996-07-01,6282.6
1996-08-01,6378.3
1996-09-01,6397.3
1996-10-01,6410.4
1996-11-01,6420.8
1996-12-01,6367.2
1997-01-01,6125.9
1997-02-01,6223.2
1997-03-01,6362.9
1997-04-01,6528.9
1997-05-01,6687.9
1997-06-01,6796.2
1997-07-01,6841.0
1997-08-01,6874.0
1997-09-01,6931.2
1997-10-01,6999.8
1997-11-01,6978.3
1997-12-01,6923.8
1998-01-01,6652.8
1998-02-01,6704.0
1998-03-01,6800.6
1998-04-01,6941.3
1998-05-01,7078.0
1998-06-01,7199.2
1998-07-01,7203.8
1998-08-01,7299.3
1998-09-01,7283.2
1998-10-01,7396.8
1998-11-01,7363.0
1998-12-01,7303.7
1999-01-01,7004.1
1999-02-01,7080.7
1999-03-01,7190.6
1999-04-01,7360.4
1999-05-01,7490.6
1999-06-01,7608.9
1999-07-01,7650.8
1999-08-01,7739.0
1999-09-01,7726.7
1999-10-01,7873.9
1999-11-01,7848.2
1999-12-01,7791.8
2000-01-01,7450.0
2000-02-01,7475.7
2000-03-01,7630.9
2000-04-01,7804.3
2000-05-01,7870.8
2000-06-01,7995.2
2000-07-01,7970.9
2000-08-01,8068.5
2000-09-01,8093.6
2000-10-01,8095.9
2000-11-01,8019.5
2000-12-01,7832.5
2001-01-01,7473.0
2001-02-01,7441.2
2001-03-01,7470.8
2001-04-01,7505.1
2001-05-01,7606.1
2001-06-01,7656.7
2001-07-01,7576.6
2001-08-01,7637.3
2001-09-01,7616.5
2001-10-01,7543.8
2001-11-01,7379.0
2001-12-01,7241.4
2002-01-01,6929.8
2002-02-01,6948.5
2002-03-01,7098.0
2002-04-01,7255.3
2002-05-01,7371.1
2002-06-01,7465.0
2002-07-01,7386.2
2002-08-01,7497.8
2002-09-01,7515.0
2002-10-01,7521.0
2002-11-01,7428.3
2002-12-01,7271.4
2003-01-01,6964.9
2003-02-01,6980.4
2003-03-01,7053.0
2003-04-01,7188.9
2003-05-01,7376.5
2003-06-01,7505.4
2003-07-01,7520.0
2003-08-01,7608.9
2003-09-01,7650.4
2003-10-01,7671.5
2003-11-01,7581.3
2003-12-01,7443.9
2004-01-01,7101.5
2004-02-01,7126.7
2004-03-01,7235.8
2004-04-01,7503.9
2004-05-01,7677.5
2004-06-01,7761.5
2004-07-01,7760.8
2004-08-01,7818.7
2004-09-01,7820.0
2004-10-01,7906.7
2004-11-01,7808.3
2004-12-01,7663.3
2005-01-01,7288.6
2005-02-01,7351.7
2005-03-01,7480.8
2005-04-01,7699.5
2005-05-01,7833.0
2005-06-01,7981.8
2005-07-01,7957.4
2005-08-01,8068.2
2005-09-01,8123.6
2005-10-01,8138.5
2005-11-01,8121.2
2005-12-01,8000.2
2006-01-01,7563.5
2006-02-01,7619.6
2006-03-01,7761.8
2006-04-01,7914.5
2006-05-01,8106.0
2006-06-01,8247.7
2006-07-01,8185.5
2006-08-01,8297.7
2006-09-01,8282.3
2006-10-01,8302.2
2006-11-01,8250.4
2006-12-01,8130.0
2007-01-01,7734.6
2007-02-01,7752.2
2007-03-01,7856.9
2007-04-01,8005.0
2007-05-01,8163.6
2007-06-01,8250.6
2007-07-01,8178.7
2007-08-01,8241.2
2007-09-01,8215.2
2007-10-01,8242.7
2007-11-01,8144.3
2007-12-01,8014.3
2008-01-01,7588.1
2008-02-01,7560.5
2008-03-01,7608.9
2008-04-01,7755.4
2008-05-01,7857.5
2008-06-01,7881.1
2008-07-01,7810.8
2008-08-01,7818.7
2008-09-01,7784.5
2008-10-01,7718.3
2008-11-01,7487.7
2008-12-01,7288.8
2009-01-01,6817.7
2009-02-01,6693.5
2009-03-01,6683.6
2009-04-01,6761.3
2009-05-01,6881.2
2009-06-01,6876.8
2009-07-01,6855.9
2009-08-01,6897.8
2009-09-01,6925.8
2009-10-01,6994.0
2009-11-01,6996.1
2009-12-01,6897.5
2010-01-01,6580.0
2010-02-01,6607.1
2010-03-01,6686.4
2010-04-01,6915.1
2010-05-01,7090.3
2010-06-01,7183.1
2010-07-01,7167.5
2010-08-01,7233.9
2010-09-01,7263.7
2010-10-01,7350.1
2010-11-01,7354.6
2010-12-01,7310.2
2011-01-01,6910.1
2011-02-01,6971.9
2011-03-01,7076.7
2011-04-01,7277.3
2011-05-01,7411.6
2011-06-01,7479.9
2011-07-01,7427.2
2011-08-01,7531.4
2011-09-01,7560.9
2011-10-01,7637.7
2011-11-01,7622.8
2011-12-01,7556.9
2012-01-01,7198.4
2012-02-01,7261.5
2012-03-01,7367.0
2012-04-01,7535.9
2012-05-01,7698.0
2012-06-01,7794.6
2012-07-01,7756.8
2012-08-01,7822.8
2012-09-01,7817.3
2012-10-01,7895.1
2012-11-01,7880.8
2012-12-01,7770.5
2013-01-01,7408.4
2013-02-01,7498.1
2013-03-01,7611.8
2013-04-01,7788.2
2013-05-01,7964.5
2013-06-01,8055.7
2013-07-01,8034.0
2013-08-01,8110.2
2013-09-01,8137.7
2013-10-01,8182.0
2013-11-01,8174.2
2013-12-01,8063.8
