observation_date,CEU7071000001
1990-01-01,998.2
1990-02-01,1028.8
1990-03-01,1071.1
1990-04-01,1118.7
1990-05-01,1169.5
1990-06-01,1261.0
1990-07-01,1288.9
1990-08-01,1282.3
1990-09-01,1179.6
1990-10-01,1080.0
1990-11-01,1046.9
1990-12-01,1058.7
1991-01-01,1038.2
1991-02-01,1058.6
1991-03-01,1089.4
1991-04-01,1133.9
1991-05-01,1212.0
1991-06-01,1338.0
1991-07-01,1350.5
1991-08-01,1343.3
1991-09-01,1242.1
1991-10-01,1135.2
1991-11-01,1085.2
1991-12-01,1097.9
1992-01-01,1079.9
1992-02-01,1093.4
1992-03-01,1120.3
1992-04-01,1187.7
1992-05-01,1274.3
1992-06-01,1399.6
1992-07-01,1425.0
1992-08-01,1427.3
1992-09-01,1329.5
1992-10-01,1207.7
1992-11-01,1140.8
1992-12-01,1150.4
1993-01-01,1112.8
1993-02-01,1142.7
1993-03-01,1174.4
1993-04-01,1284.0
1993-05-01,1349.5
1993-06-01,1468.8
1993-07-01,1508.5
1993-08-01,1512.3
1993-09-01,1396.4
1993-10-01,1258.0
1993-11-01,1200.4
1993-12-01,1215.4
1994-01-01,1165.7
1994-02-01,1195.9
1994-03-01,1250.7
1994-04-01,1351.2
1994-05-01,1433.4
1994-06-01,1575.1
1994-07-01,1608.1
1994-08-01,1604.1
1994-09-01,1462.6
1994-10-01,1327.5
1994-11-01,1263.0
1994-12-01,1270.2
1995-01-01,1216.6
1995-02-01,1259.4
1995-03-01,1329.7
1995-04-01,1437.9
1995-05-01,1531.8
1995-06-01,1681.3
1995-07-01,1717.2
1995-08-01,1706.5
1995-09-01,1551.5
1995-10-01,1434.1
1995-11-01,1329.2
1995-12-01,1317.1
1996-01-01,1260.7
1996-02-01,1306.0
1996-03-01,1372.3
1996-04-01,1490.5
1996-05-01,1600.1
1996-06-01,1757.1
1996-07-01,1799.5
1996-08-01,1786.1
1996-09-01,1602.7
1996-10-01,1498.9
1996-11-01,1397.7
1996-12-01,1393.6
1997-01-01,1338.1
1997-02-01,1380.3
1997-03-01,1443.7
1997-04-01,1561.7
1997-05-01,1693.2
1997-06-01,1857.9
1997-07-01,1906.1
1997-08-01,1867.0
1997-09-01,1685.2
1997-10-01,1562.0
1997-11-01,1452.7
1997-12-01,1450.8
1998-01-01,1378.3
1998-02-01,1418.0
1998-03-01,1476.7
1998-04-01,1608.2
1998-05-01,1724.6
1998-06-01,1878.9
1998-07-01,1944.0
1998-08-01,1912.3
1998-09-01,1750.3
1998-10-01,1614.8
1998-11-01,1521.5
1998-12-01,1514.7
1999-01-01,1442.2
1999-02-01,1478.4
1999-03-01,1537.9
1999-04-01,1671.0
1999-05-01,1785.0
1999-06-01,1959.4
1999-07-01,2008.7
1999-08-01,1981.6
1999-09-01,1807.4
1999-10-01,1684.1
1999-11-01,1582.4
1999-12-01,1570.5
2000-01-01,1505.2
2000-02-01,1541.3
2000-03-01,1606.2
2000-04-01,1750.8
2000-05-01,1875.0
2000-06-01,2062.4
2000-07-01,2122.6
2000-08-01,2085.9
2000-09-01,1878.2
2000-10-01,1756.6
2000-11-01,1647.2
2000-12-01,1623.7
2001-01-01,1561.7
2001-02-01,1589.9
2001-03-01,1650.0
2001-04-01,1787.8
2001-05-01,1933.5
2001-06-01,2096.4
2001-07-01,2154.3
2001-08-01,2120.1
2001-09-01,1899.1
2001-10-01,1789.0
2001-11-01,1661.7
2001-12-01,1649.3
2002-01-01,1583.2
2002-02-01,1599.0
2002-03-01,1651.8
2002-04-01,1730.6
2002-05-01,1846.1
2002-06-01,2001.8
2002-07-01,2037.9
2002-08-01,2005.4
2002-09-01,1841.0
2002-10-01,1751.3
2002-11-01,1667.6
2002-12-01,1675.7
2003-01-01,1624.9
2003-02-01,1630.3
2003-03-01,1665.2
2003-04-01,1751.6
2003-05-01,1875.4
2003-06-01,2041.5
2003-07-01,2107.3
2003-08-01,2069.5
2003-09-01,1868.0
2003-10-01,1763.0
2003-11-01,1675.0
2003-12-01,1682.6
2004-01-01,1628.0
2004-02-01,1643.7
2004-03-01,1694.3
2004-04-01,1798.5
2004-05-01,1923.9
2004-06-01,2090.7
2004-07-01,2142.9
2004-08-01,2102.6
2004-09-01,1933.0
2004-10-01,1819.4
2004-11-01,1716.8
2004-12-01,1701.5
2005-01-01,1640.5
2005-02-01,1659.6
2005-03-01,1707.3
2005-04-01,1848.1
2005-05-01,1964.4
2005-06-01,2144.5
2005-07-01,2202.9
2005-08-01,2179.4
2005-09-01,1985.5
2005-10-01,1858.0
2005-11-01,1767.5
2005-12-01,1750.0
