observation_date,CEU3100000001
1939-01-01,4345
1939-02-01,4400
1939-03-01,4462
1939-04-01,4502
1939-05-01,4493
1939-06-01,4523
1939-07-01,4478
1939-08-01,4546
1939-09-01,4787
1939-10-01,5048
1939-11-01,5113
1939-12-01,5149
1940-01-01,5022
1940-02-01,5002
1940-03-01,5003
1940-04-01,4995
1940-05-01,5021
1940-06-01,5061
1940-07-01,5036
1940-08-01,5223
1940-09-01,5459
1940-10-01,5645
1940-11-01,5782
1940-12-01,5877
1941-01-01,5899
1941-02-01,6056
1941-03-01,6192
1941-04-01,6412
1941-05-01,6600
1941-06-01,6807
1941-07-01,6967
1941-08-01,7054
1941-09-01,7226
1941-10-01,7337
1941-11-01,7382
1941-12-01,7405
1942-01-01,7430
1942-02-01,7587
1942-03-01,7763
1942-04-01,7951
1942-05-01,8146
1942-06-01,8360
1942-07-01,8594
1942-08-01,8837
1942-09-01,9013
1942-10-01,9230
1942-11-01,9430
1942-12-01,9683
1943-01-01,9865
1943-02-01,10070
1943-03-01,10270
1943-04-01,10393
1943-05-01,10471
1943-06-01,10649
1943-07-01,10768
1943-08-01,10818
1943-09-01,10824
1943-10-01,10931
1943-11-01,11013
1943-12-01,10925
1944-01-01,10838
1944-02-01,10803
1944-03-01,10696
1944-04-01,10545
1944-05-01,10452
1944-06-01,10415
1944-07-01,10347
1944-08-01,10290
1944-09-01,10122
1944-10-01,10011
1944-11-01,9959
1944-12-01,9989
1945-01-01,10035
1945-02-01,10069
1945-03-01,10014
1945-04-01,9871
1945-05-01,9685
1945-06-01,9444
1945-07-01,9139
1945-08-01,8802
1945-09-01,7022
1945-10-01,6919
1945-11-01,6950
1945-12-01,6832
1946-01-01,6955
1946-02-01,6173
1946-03-01,6767
1946-04-01,7328
1946-05-01,7417
1946-06-01,7598
1946-07-01,7742
1946-08-01,7947
1946-09-01,8066
1946-10-01,8089
1946-11-01,8168
1946-12-01,8166
1947-01-01,8105
1947-02-01,8162
1947-03-01,8182
1947-04-01,8150
1947-05-01,8035
1947-06-01,8071
1947-07-01,7869
1947-08-01,7957
1947-09-01,8042
1947-10-01,8088
1947-11-01,8122
1947-12-01,8165
1948-01-01,8121
1948-02-01,8063
1948-03-01,8108
1948-04-01,7995
1948-05-01,7934
1948-06-01,7923
1948-07-01,7957
1948-08-01,8005
1948-09-01,8089
1948-10-01,8108
1948-11-01,8065
1948-12-01,7971
1949-01-01,7760
1949-02-01,7656
1949-03-01,7552
1949-04-01,7402
1949-05-01,7213
1949-06-01,7163
1949-07-01,7037
1949-08-01,7094
1949-09-01,7205
1949-10-01,6818
1949-11-01,6876
1949-12-01,7106
1950-01-01,7135
1950-02-01,7124
1950-03-01,7221
1950-04-01,7349
1950-05-01,7601
1950-06-01,7761
1950-07-01,7790
1950-08-01,8112
1950-09-01,8236
1950-10-01,8424
1950-11-01,8458
1950-12-01,8500
1951-01-01,8545
1951-02-01,8659
1951-03-01,8747
1951-04-01,8774
1951-05-01,8754
1951-06-01,8796
1951-07-01,8664
1951-08-01,8716
1951-09-01,8749
1951-10-01,8782
1951-11-01,8819
1951-12-01,8846
1952-01-01,8806
1952-02-01,8869
1952-03-01,8903
1952-04-01,8930
1952-05-01,8891
1952-06-01,8569
1952-07-01,8303
1952-08-01,8896
1952-09-01,9184
1952-10-01,9335
1952-11-01,9472
1952-12-01,9584
1953-01-01,9606
1953-02-01,9720
1953-03-01,9836
1953-04-01,9846
1953-05-01,9828
1953-06-01,9854
1953-07-01,9754
1953-08-01,9746
1953-09-01,9698
1953-10-01,9618
1953-11-01,9447
1953-12-01,9328
1954-01-01,9151
1954-02-01,9045
1954-03-01,8956
1954-04-01,8846
1954-05-01,8741
1954-06-01,8721
1954-07-01,8497
1954-08-01,8512
1954-09-01,8569
1954-10-01,8669
1954-11-01,8775
1954-12-01,8793
1955-01-01,8758
1955-02-01,8850
1955-03-01,8952
1955-04-01,9038
1955-05-01,9112
1955-06-01,9228
1955-07-01,9134
1955-08-01,9217
1955-09-01,9271
1955-10-01,9384
1955-11-01,9480
1955-12-01,9509
1956-01-01,9443
1956-02-01,9417
1956-03-01,9373
1956-04-01,9442
1956-05-01,9396
1956-06-01,9411
1956-07-01,8960
1956-08-01,9400
1956-09-01,9447
1956-10-01,9601
1956-11-01,9658
1956-12-01,9668
1957-01-01,9590
1957-02-01,9596
1957-03-01,9579
1957-04-01,9535
1957-05-01,9503
1957-06-01,9532
1957-07-01,9404
1957-08-01,9464
1957-09-01,9392
1957-10-01,9380
1957-11-01,9296
1957-12-01,9152
1958-01-01,8879
1958-02-01,8649
1958-03-01,8482
1958-04-01,8311
1958-05-01,8225
1958-06-01,8286
1958-07-01,8223
1958-08-01,8308
1958-09-01,8532
1958-10-01,8401
1958-11-01,8727
1958-12-01,8735
1959-01-01,8738
1959-02-01,8795
1959-03-01,8922
1959-04-01,9024
1959-05-01,9133
1959-06-01,9253
1959-07-01,9201
1959-08-01,8776
1959-09-01,8916
1959-10-01,8854
1959-11-01,9005
1959-12-01,9241
1960-01-01,9269
1960-02-01,9302
1960-03-01,9253
1960-04-01,9200
1960-05-01,9161
1960-06-01,9137
1960-07-01,8989
1960-08-01,8967
1960-09-01,9046
1960-10-01,8947
1960-11-01,8877
1960-12-01,8709
1961-01-01,8546
1961-02-01,8457
1961-03-01,8468
1961-04-01,8521
1961-05-01,8664
1961-06-01,8762
1961-07-01,8710
1961-08-01,8751
1961-09-01,8851
1961-10-01,8865
1961-11-01,8980
1961-12-01,8955
1962-01-01,8884
1962-02-01,8945
1962-03-01,9001
1962-04-01,9078
1962-05-01,9122
1962-06-01,9184
1962-07-01,9103
1962-08-01,9064
1962-09-01,9236
1962-10-01,9228
1962-11-01,9198
1962-12-01,9142
1963-01-01,9080
1963-02-01,9072
1963-03-01,9101
1963-04-01,9177
1963-05-01,9241
1963-06-01,9304
1963-07-01,9227
1963-08-01,9175
1963-09-01,9349
1963-10-01,9355
1963-11-01,9329
1963-12-01,9304
1964-01-01,9210
1964-02-01,9222
1964-03-01,9277
1964-04-01,9332
1964-05-01,9365
1964-06-01,9456
1964-07-01,9409
1964-08-01,9405
1964-09-01,9651
1964-10-01,9378
1964-11-01,9617
1964-12-01,9642
1965-01-01,9594
1965-02-01,9645
1965-03-01,9703
1965-04-01,9804
1965-05-01,9863
1965-06-01,10015
1965-07-01,10001
1965-08-01,10012
1965-09-01,10203
1965-10-01,10222
1965-11-01,10289
1965-12-01,10329
1966-01-01,10315
1966-02-01,10435
1966-03-01,10535
1966-04-01,10653
1966-05-01,10739
1966-06-01,10920
1966-07-01,10826
1966-08-01,10874
1966-09-01,11050
1966-10-01,11090
1966-11-01,11106
1966-12-01,11088
1967-01-01,10998
1967-02-01,10984
1967-03-01,10966
1967-04-01,10914
1967-05-01,10901
1967-06-01,10993
1967-07-01,10836
1967-08-01,10904
1967-09-01,10901
1967-10-01,10879
1967-11-01,11079
1967-12-01,11074
1968-01-01,11008
1968-02-01,11002
1968-03-01,11015
1968-04-01,11068
1968-05-01,11091
1968-06-01,11230
1968-07-01,11135
1968-08-01,11065
1968-09-01,11212
1968-10-01,11220
1968-11-01,11291
1968-12-01,11307
1969-01-01,11271
1969-02-01,11298
1969-03-01,11351
1969-04-01,11352
1969-05-01,11362
1969-06-01,11541
1969-07-01,11386
1969-08-01,11491
1969-09-01,11527
1969-10-01,11507
1969-11-01,11345
1969-12-01,11318
1970-01-01,11151
1970-02-01,11104
1970-03-01,11141
1970-04-01,11034
1970-05-01,10901
1970-06-01,10937
1970-07-01,10720
1970-08-01,10672
1970-09-01,10762
1970-10-01,10253
1970-11-01,10116
1970-12-01,10358
1971-01-01,10238
1971-02-01,10193
1971-03-01,10161
1971-04-01,10174
1971-05-01,10226
1971-06-01,10311
1971-07-01,10130
1971-08-01,10154
1971-09-01,10315
1971-10-01,10280
1971-11-01,10297
1971-12-01,10273
1972-01-01,10234
1972-02-01,10291
1972-03-01,10371
1972-04-01,10447
1972-05-01,10533
1972-06-01,10690
1972-07-01,10465
1972-08-01,10685
1972-09-01,10841
1972-10-01,10924
1972-11-01,11010
1972-12-01,11070
1973-01-01,11035
1973-02-01,11127
1973-03-01,11203
1973-04-01,11270
1973-05-01,11346
1973-06-01,11524
1973-07-01,11382
1973-08-01,11472
1973-09-01,11598
1973-10-01,11653
1973-11-01,11696
1973-12-01,11656
1974-01-01,11479
1974-02-01,11395
1974-03-01,11392
1974-04-01,11472
1974-05-01,11503
1974-06-01,11656
1974-07-01,11486
1974-08-01,11494
1974-09-01,11590
1974-10-01,11500
1974-11-01,11283
1974-12-01,10932
1975-01-01,10552
1975-02-01,10282
1975-03-01,10204
1975-04-01,10160
1975-05-01,10171
1975-06-01,10231
1975-07-01,10025
1975-08-01,10188
1975-09-01,10361
1975-10-01,10346
1975-11-01,10332
1975-12-01,10334
