observation_date,CEU9091000001
1939-01-01,900
1939-02-01,909
1939-03-01,913
1939-04-01,919
1939-05-01,937
1939-06-01,961
1939-07-01,962
1939-08-01,968
1939-09-01,972
1939-10-01,968
1939-11-01,966
1939-12-01,1021
1940-01-01,968
1940-02-01,967
1940-03-01,976
1940-04-01,984
1940-05-01,1003
1940-06-01,1034
1940-07-01,1045
1940-08-01,1056
1940-09-01,1074
1940-10-01,1106
1940-11-01,1127
1940-12-01,1201
1941-01-01,1186
1941-02-01,1203
1941-03-01,1227
1941-04-01,1278
1941-05-01,1330
1941-06-01,1400
1941-07-01,1430
1941-08-01,1476
1941-09-01,1529
1941-10-01,1553
1941-11-01,1580
1941-12-01,1679
1942-01-01,1733
1942-02-01,1801
1942-03-01,1925
1942-04-01,2043
1942-05-01,2131
1942-06-01,2238
1942-07-01,2357
1942-08-01,2581
1942-09-01,2619
1942-10-01,2713
1942-11-01,2782
1942-12-01,2936
1943-01-01,2908
1943-02-01,2981
1943-03-01,3027
1943-04-01,3055
1943-05-01,3083
1943-06-01,3182
1943-07-01,3153
1943-08-01,3016
1943-09-01,2985
1943-10-01,2980
1943-11-01,2989
1943-12-01,3210
1944-01-01,2984
1944-02-01,2993
1944-03-01,3002
1944-04-01,3024
1944-05-01,3039
1944-06-01,3094
1944-07-01,3119
1944-08-01,3087
1944-09-01,3060
1944-10-01,3058
1944-11-01,3063
1944-12-01,3331
1945-01-01,3073
1945-02-01,3105
1945-03-01,3107
1945-04-01,3103
1945-05-01,3086
1945-06-01,3107
1945-07-01,3091
1945-08-01,2983
1945-09-01,2734
1945-10-01,2628
1945-11-01,2573
1945-12-01,2752
1946-01-01,2517
1946-02-01,2508
1946-03-01,2481
1946-04-01,2491
1946-05-01,2453
1946-06-01,2384
1946-07-01,2364
1946-08-01,2309
1946-09-01,2222
1946-10-01,2181
1946-11-01,2116
1946-12-01,2350
1947-01-01,2106
1947-02-01,2094
1947-03-01,2072
1947-04-01,2043
1947-05-01,2015
1947-06-01,1947
1947-07-01,1905
1947-08-01,1883
1947-09-01,1864
1947-10-01,1868
1947-11-01,1871
1947-12-01,2146
1948-01-01,1857
1948-02-01,1868
1948-03-01,1878
1948-04-01,1892
1948-05-01,1903
1948-06-01,1935
1948-07-01,1949
1948-08-01,1965
1948-09-01,1964
1948-10-01,1967
1948-11-01,1989
1948-12-01,2285
1949-01-01,1988
1949-02-01,1988
1949-03-01,1995
1949-04-01,2009
1949-05-01,2019
1949-06-01,2015
1949-07-01,2007
1949-08-01,1995
1949-09-01,1961
1949-10-01,1914
1949-11-01,1906
1949-12-01,2219
1950-01-01,1882
1950-02-01,1883
1950-03-01,2028
1950-04-01,2027
1950-05-01,1935
1950-06-01,1903
1950-07-01,1926
1950-08-01,2003
1950-09-01,2036
1950-10-01,2070
1950-11-01,2106
1950-12-01,2474
1951-01-01,2180
1951-02-01,2247
1951-03-01,2299
1951-04-01,2346
1951-05-01,2380
1951-06-01,2422
1951-07-01,2444
1951-08-01,2452
1951-09-01,2440
1951-10-01,2445
1951-11-01,2461
1951-12-01,2864
1952-01-01,2470
1952-02-01,2482
1952-03-01,2494
1952-04-01,2503
1952-05-01,2505
1952-06-01,2534
1952-07-01,2538
1952-08-01,2524
1952-09-01,2504
1952-10-01,2499
1952-11-01,2497
1952-12-01,2917
1953-01-01,2482
1953-02-01,2476
1953-03-01,2458
1953-04-01,2440
1953-05-01,2416
1953-06-01,2416
1953-07-01,2393
1953-08-01,2369
1953-09-01,2339
1953-10-01,2313
1953-11-01,2311
1953-12-01,2602
1954-01-01,2290
1954-02-01,2281
1954-03-01,2280
1954-04-01,2273
1954-05-01,2266
1954-06-01,2270
1954-07-01,2267
1954-08-01,2263
1954-09-01,2247
1954-10-01,2252
1954-11-01,2271
1954-12-01,2577
1955-01-01,2244
1955-02-01,2247
1955-03-01,2253
1955-04-01,2259
1955-05-01,2264
1955-06-01,2290
1955-07-01,2294
1955-08-01,2297
1955-09-01,2280
1955-10-01,2278
1955-11-01,2274
1955-12-01,2555
1956-01-01,2262
1956-02-01,2266
1956-03-01,2268
1956-04-01,2274
1956-05-01,2283
1956-06-01,2300
1956-07-01,2316
1956-08-01,2316
1956-09-01,2304
1956-10-01,2310
1956-11-01,2309
1956-12-01,2605
1957-01-01,2305
1957-02-01,2308
1957-03-01,2311
1957-04-01,2313
1957-05-01,2310
1957-06-01,2319
1957-07-01,2328
1957-08-01,2320
1957-09-01,2286
1957-10-01,2262
1957-11-01,2253
1957-12-01,2591
1958-01-01,2242
1958-02-01,2245
1958-03-01,2246
1958-04-01,2255
1958-05-01,2256
1958-06-01,2291
1958-07-01,2299
1958-08-01,2299
1958-09-01,2281
1958-10-01,2279
1958-11-01,2278
1958-12-01,2609
1959-01-01,2299
1959-02-01,2297
1959-03-01,2299
1959-04-01,2305
1959-05-01,2302
1959-06-01,2330
1959-07-01,2336
1959-08-01,2329
1959-09-01,2308
1959-10-01,2312
1959-11-01,2337
1959-12-01,2652
