observation_date,CEU5552000001
1990-01-01,4956.4
1990-02-01,4962.7
1990-03-01,4960.4
1990-04-01,4958.1
1990-05-01,4966.2
1990-06-01,5007.6
1990-07-01,5016.6
1990-08-01,5015.8
1990-09-01,4976.7
1990-10-01,4965.4
1990-11-01,4964.7
1990-12-01,4966.6
1991-01-01,4965.3
1991-02-01,4958.1
1991-03-01,4962.8
1991-04-01,4946.7
1991-05-01,4943.3
1991-06-01,4962.9
1991-07-01,4955.8
1991-08-01,4945.6
1991-09-01,4912.0
1991-10-01,4896.8
1991-11-01,4898.7
1991-12-01,4907.3
1992-01-01,4895.9
1992-02-01,4898.9
1992-03-01,4901.0
1992-04-01,4907.9
1992-05-01,4917.9
1992-06-01,4948.3
1992-07-01,4953.6
1992-08-01,4953.4
1992-09-01,4936.8
1992-10-01,4938.2
1992-11-01,4950.0
1992-12-01,4970.2
1993-01-01,4972.7
1993-02-01,4976.2
1993-03-01,4989.0
1993-04-01,5004.9
1993-05-01,5026.3
1993-06-01,5072.5
1993-07-01,5101.1
1993-08-01,5112.0
1993-09-01,5102.2
1993-10-01,5115.5
1993-11-01,5142.1
1993-12-01,5168.1
1994-01-01,5168.1
1994-02-01,5181.8
1994-03-01,5198.7
1994-04-01,5198.0
1994-05-01,5191.7
1994-06-01,5215.3
1994-07-01,5214.0
1994-08-01,5195.3
1994-09-01,5152.6
1994-10-01,5134.7
1994-11-01,5127.5
1994-12-01,5125.9
1995-01-01,5105.1
1995-02-01,5093.3
1995-03-01,5098.4
1995-04-01,5090.2
1995-05-01,5090.8
1995-06-01,5116.8
1995-07-01,5126.1
1995-08-01,5124.1
1995-09-01,5100.1
1995-10-01,5101.3
1995-11-01,5115.0
1995-12-01,5128.4
1996-01-01,5127.5
1996-02-01,5134.2
1996-03-01,5143.6
1996-04-01,5153.2
1996-05-01,5177.1
1996-06-01,5216.5
1996-07-01,5238.5
1996-08-01,5244.2
1996-09-01,5224.3
1996-10-01,5230.8
1996-11-01,5249.2
1996-12-01,5268.0
1997-01-01,5270.1
1997-02-01,5277.3
1997-03-01,5294.3
1997-04-01,5312.5
1997-05-01,5338.7
1997-06-01,5381.3
1997-07-01,5414.8
1997-08-01,5431.1
1997-09-01,5417.1
1997-10-01,5438.5
1997-11-01,5466.9
1997-12-01,5504.5
1998-01-01,5511.7
1998-02-01,5528.5
1998-03-01,5560.4
1998-04-01,5578.4
1998-05-01,5603.7
1998-06-01,5651.4
1998-07-01,5681.2
1998-08-01,5685.7
1998-09-01,5663.0
1998-10-01,5687.0
1998-11-01,5703.8
1998-12-01,5725.6
1999-01-01,5732.1
1999-02-01,5731.4
1999-03-01,5746.5
1999-04-01,5754.1
1999-05-01,5764.5
1999-06-01,5798.8
1999-07-01,5816.1
1999-08-01,5806.4
1999-09-01,5769.3
1999-10-01,5765.4
1999-11-01,5773.3
1999-12-01,5784.8
2000-01-01,5759.0
2000-02-01,5759.1
2000-03-01,5755.8
2000-04-01,5745.8
2000-05-01,5748.7
2000-06-01,5781.9
2000-07-01,5788.3
2000-08-01,5791.5
2000-09-01,5775.0
2000-10-01,5773.2
2000-11-01,5789.2
2000-12-01,5806.6
2001-01-01,5794.5
2001-02-01,5815.0
2001-03-01,5833.9
