observation_date,CEU9093000001
1955-01-01,3537
1955-02-01,3532
1955-03-01,3556
1955-04-01,3564
1955-05-01,3585
1955-06-01,3559
1955-07-01,3400
1955-08-01,3362
1955-09-01,3579
1955-10-01,3671
1955-11-01,3662
1955-12-01,3694
1956-01-01,3701
1956-02-01,3746
1956-03-01,3788
1956-04-01,3803
1956-05-01,3859
1956-06-01,3805
1956-07-01,3631
1956-08-01,3657
1956-09-01,3888
1956-10-01,3950
1956-11-01,4007
1956-12-01,3993
1957-01-01,4002
1957-02-01,4041
1957-03-01,4072
1957-04-01,4092
1957-05-01,4097
1957-06-01,4041
1957-07-01,3886
1957-08-01,3881
1957-09-01,4108
1957-10-01,4194
1957-11-01,4226
1957-12-01,4207
1958-01-01,4201
1958-02-01,4226
1958-03-01,4243
1958-04-01,4249
1958-05-01,4253
1958-06-01,4217
1958-07-01,4027
1958-08-01,4038
1958-09-01,4284
1958-10-01,4336
1958-11-01,4366
1958-12-01,4346
1959-01-01,4335
1959-02-01,4365
1959-03-01,4380
1959-04-01,4385
1959-05-01,4386
1959-06-01,4325
1959-07-01,4132
1959-08-01,4124
1959-09-01,4425
1959-10-01,4497
1959-11-01,4518
1959-12-01,4518
1960-01-01,4512
1960-02-01,4550
1960-03-01,4557
1960-04-01,4557
1960-05-01,4565
1960-06-01,4536
1960-07-01,4314
1960-08-01,4313
1960-09-01,4598
1960-10-01,4667
1960-11-01,4706
1960-12-01,4692
1961-01-01,4676
1961-02-01,4713
1961-03-01,4725
1961-04-01,4719
1961-05-01,4725
1961-06-01,4686
1961-07-01,4470
1961-08-01,4452
1961-09-01,4765
1961-10-01,4839
1961-11-01,4867
1961-12-01,4857
1962-01-01,4841
1962-02-01,4877
1962-03-01,4889
1962-04-01,4885
1962-05-01,4894
1962-06-01,4859
1962-07-01,4622
1962-08-01,4619
1962-09-01,4933
1962-10-01,5027
1962-11-01,5067
1962-12-01,5061
1963-01-01,5055
1963-02-01,5104
1963-03-01,5122
1963-04-01,5121
1963-05-01,5132
1963-06-01,5102
1963-07-01,4837
1963-08-01,4828
1963-09-01,5169
1963-10-01,5304
1963-11-01,5334
1963-12-01,5342
1964-01-01,5332
1964-02-01,5378
1964-03-01,5407
1964-04-01,5415
1964-05-01,5415
1964-06-01,5384
1964-07-01,5078
1964-08-01,5065
1964-09-01,5438
1964-10-01,5569
1964-11-01,5610
1964-12-01,5614
1965-01-01,5600
1965-02-01,5665
1965-03-01,5695
1965-04-01,5707
1965-05-01,5716
1965-06-01,5689
1965-07-01,5389
1965-08-01,5373
1965-09-01,5746
1965-10-01,5882
1965-11-01,5958
1965-12-01,5982
1966-01-01,5963
1966-02-01,6042
1966-03-01,6106
1966-04-01,6128
1966-05-01,6136
1966-06-01,6109
1966-07-01,5764
1966-08-01,5718
1966-09-01,6086
1966-10-01,6240
1966-11-01,6322
1966-12-01,6342
1967-01-01,6324
1967-02-01,6393
1967-03-01,6429
1967-04-01,6432
1967-05-01,6439
1967-06-01,6412
1967-07-01,6008
1967-08-01,5971
1967-09-01,6362
1967-10-01,6493
1967-11-01,6580
1967-12-01,6604
1968-01-01,6612
1968-02-01,6682
1968-03-01,6721
1968-04-01,6727
1968-05-01,6735
1968-06-01,6694
1968-07-01,6286
1968-08-01,6250
1968-09-01,6633
1968-10-01,6816
1968-11-01,6848
1968-12-01,6914
1969-01-01,6897
1969-02-01,6963
1969-03-01,6982
1969-04-01,6968
1969-05-01,6994
1969-06-01,6946
1969-07-01,6505
1969-08-01,6471
1969-09-01,6826
1969-10-01,7038
1969-11-01,7115
1969-12-01,7147
1970-01-01,7116
1970-02-01,7198
1970-03-01,7204
1970-04-01,7191
1970-05-01,7221
1970-06-01,7206
1970-07-01,6780
1970-08-01,6724
1970-09-01,7106
1970-10-01,7323
1970-11-01,7414
1970-12-01,7418
1971-01-01,7418
1971-02-01,7496
1971-03-01,7531
1971-04-01,7524
1971-05-01,7551
1971-06-01,7517
1971-07-01,7012
1971-08-01,6942
1971-09-01,7335
1971-10-01,7562
1971-11-01,7657
1971-12-01,7703
1972-01-01,7707
1972-02-01,7806
1972-03-01,7837
1972-04-01,7830
1972-05-01,7862
1972-06-01,7850
1972-07-01,7399
1972-08-01,7337
1972-09-01,7729
1972-10-01,7961
1972-11-01,8066
1972-12-01,8098
1973-01-01,8067
1973-02-01,8161
1973-03-01,8220
1973-04-01,8229
1973-05-01,8248
1973-06-01,8270
1973-07-01,7728
1973-08-01,7666
1973-09-01,8007
1973-10-01,8296
1973-11-01,8421
1973-12-01,8437
1974-01-01,8373
1974-02-01,8457
1974-03-01,8496
1974-04-01,8484
1974-05-01,8501
1974-06-01,8487
1974-07-01,7930
1974-08-01,7856
1974-09-01,8306
1974-10-01,8586
1974-11-01,8697
1974-12-01,8712
1975-01-01,8675
1975-02-01,8852
1975-03-01,8904
1975-04-01,8904
1975-05-01,8954
1975-06-01,8873
1975-07-01,8334
1975-08-01,8230
1975-09-01,8555
1975-10-01,8868
1975-11-01,8962
1975-12-01,8985
1976-01-01,8931
1976-02-01,9040
1976-03-01,9089
1976-04-01,9050
1976-05-01,9062
1976-06-01,9003
1976-07-01,8372
1976-08-01,8285
1976-09-01,8627
1976-10-01,8893
1976-11-01,9013
1976-12-01,9010
1977-01-01,8913
1977-02-01,9006
1977-03-01,9058
1977-04-01,9037
1977-05-01,9110
1977-06-01,9117
1977-07-01,8577
1977-08-01,8500
1977-09-01,8926
1977-10-01,9243
1977-11-01,9383
1977-12-01,9402
1978-01-01,9350
1978-02-01,9501
1978-03-01,9605
1978-04-01,9637
1978-05-01,9699
1978-06-01,9673
1978-07-01,9016
1978-08-01,8889
1978-09-01,9196
1978-10-01,9497
1978-11-01,9628
1978-12-01,9656
1979-01-01,9575
1979-02-01,9688
1979-03-01,9755
1979-04-01,9787
1979-05-01,9839
1979-06-01,9836
1979-07-01,9182
1979-08-01,9087
1979-09-01,9424
1979-10-01,9720
1979-11-01,9845
1979-12-01,9863
1980-01-01,9786
1980-02-01,9914
1980-03-01,9976
1980-04-01,9942
1980-05-01,10018
1980-06-01,9967
1980-07-01,9215
1980-08-01,9119
1980-09-01,9519
1980-10-01,9843
1980-11-01,9954
1980-12-01,9929
1981-01-01,9813
1981-02-01,9942
1981-03-01,9968
1981-04-01,9940
1981-05-01,9925
1981-06-01,9813
1981-07-01,9053
1981-08-01,8858
1981-09-01,9230
1981-10-01,9543
1981-11-01,9673
1981-12-01,9664
1982-01-01,9543
1982-02-01,9653
1982-03-01,9728
1982-04-01,9718
1982-05-01,9769
1982-06-01,9668
1982-07-01,8810
1982-08-01,8716
1982-09-01,9195
1982-10-01,9489
1982-11-01,9612
1982-12-01,9600
1983-01-01,9499
1983-02-01,9629
1983-03-01,9688
1983-04-01,9653
1983-05-01,9710
1983-06-01,9618
1983-07-01,8833
1983-08-01,8707
1983-09-01,9229
1983-10-01,9468
1983-11-01,9591
1983-12-01,9577
1984-01-01,9460
1984-02-01,9601
1984-03-01,9644
1984-04-01,9652
1984-05-01,9702
1984-06-01,9600
1984-07-01,8862
1984-08-01,8770
1984-09-01,9339
1984-10-01,9652
1984-11-01,9779
1984-12-01,9720
1985-01-01,9630
1985-02-01,9784
1985-03-01,9843
1985-04-01,9832
1985-05-01,9901
1985-06-01,9798
1985-07-01,9102
1985-08-01,8966
1985-09-01,9559
1985-10-01,9872
1985-11-01,9988
1985-12-01,9973
1986-01-01,9833
1986-02-01,10023
1986-03-01,10062
1986-04-01,10050
1986-05-01,10121
1986-06-01,10007
1986-07-01,9197
1986-08-01,9075
1986-09-01,9787
1986-10-01,10148
1986-11-01,10279
1986-12-01,10234
1987-01-01,10083
1987-02-01,10224
1987-03-01,10288
1987-04-01,10303
1987-05-01,10342
1987-06-01,10236
1987-07-01,9411
