observation_date,CEU6055000001
1990-01-01,1652.6
1990-02-01,1654.6
1990-03-01,1657.4
1990-04-01,1664.2
1990-05-01,1670.3
1990-06-01,1684.6
1990-07-01,1682.0
1990-08-01,1686.2
1990-09-01,1680.5
1990-10-01,1675.9
1990-11-01,1675.3
1990-12-01,1676.8
1991-01-01,1645.4
1991-02-01,1636.1
1991-03-01,1635.1
1991-04-01,1636.4
1991-05-01,1641.5
1991-06-01,1651.4
1991-07-01,1648.0
1991-08-01,1654.6
1991-09-01,1649.1
1991-10-01,1644.1
1991-11-01,1645.0
1991-12-01,1646.2
1992-01-01,1614.1
1992-02-01,1611.1
1992-03-01,1611.7
1992-04-01,1619.4
1992-05-01,1627.1
1992-06-01,1639.3
1992-07-01,1639.6
1992-08-01,1643.1
1992-09-01,1640.4
1992-10-01,1640.3
1992-11-01,1644.8
1992-12-01,1649.0
1993-01-01,1624.8
1993-02-01,1624.3
1993-03-01,1626.7
1993-04-01,1633.7
1993-05-01,1643.4
1993-06-01,1656.2
1993-07-01,1659.5
1993-08-01,1664.8
1993-09-01,1663.0
1993-10-01,1664.0
1993-11-01,1670.3
1993-12-01,1674.6
1994-01-01,1647.5
1994-02-01,1647.5
1994-03-01,1653.9
1994-04-01,1662.7
1994-05-01,1670.2
1994-06-01,1684.8
1994-07-01,1687.1
1994-08-01,1694.4
1994-09-01,1692.4
1994-10-01,1693.2
1994-11-01,1701.2
1994-12-01,1705.9
1995-01-01,1678.8
1995-02-01,1678.7
1995-03-01,1682.3
1995-04-01,1688.3
1995-05-01,1694.3
1995-06-01,1707.2
1995-07-01,1706.5
1995-08-01,1712.8
1995-09-01,1710.1
1995-10-01,1710.6
1995-11-01,1715.9
1995-12-01,1719.8
1996-01-01,1690.7
1996-02-01,1692.0
1996-03-01,1696.3
1996-04-01,1702.8
1996-05-01,1714.6
1996-06-01,1727.2
1996-07-01,1727.2
1996-08-01,1734.6
1996-09-01,1729.8
1996-10-01,1732.9
1996-11-01,1740.1
1996-12-01,1744.9
1997-01-01,1715.8
1997-02-01,1717.3
1997-03-01,1725.2
1997-04-01,1732.2
1997-05-01,1742.0
1997-06-01,1754.0
1997-07-01,1755.9
1997-08-01,1762.7
1997-09-01,1758.6
1997-10-01,1764.9
1997-11-01,1773.8
1997-12-01,1780.1
1998-01-01,1751.6
1998-02-01,1751.1
1998-03-01,1757.0
1998-04-01,1764.3
1998-05-01,1773.2
1998-06-01,1784.6
1998-07-01,1784.9
1998-08-01,1787.5
1998-09-01,1786.3
1998-10-01,1788.5
1998-11-01,1795.2
1998-12-01,1800.6
1999-01-01,1769.5
1999-02-01,1771.1
1999-03-01,1775.9
1999-04-01,1783.3
1999-05-01,1791.3
1999-06-01,1802.7
1999-07-01,1804.7
1999-08-01,1806.8
1999-09-01,1803.4
1999-10-01,1810.0
1999-11-01,1818.2
1999-12-01,1825.0
2000-01-01,1793.3
2000-02-01,1794.3
2000-03-01,1802.2
2000-04-01,1808.2
2000-05-01,1813.6
2000-06-01,1828.2
2000-07-01,1826.4
2000-08-01,1830.6
2000-09-01,1829.6
2000-10-01,1832.7
2000-11-01,1843.3
2000-12-01,1850.0
2001-01-01,1814.2
2001-02-01,1811.9
2001-03-01,1815.7
2001-04-01,1814.5
2001-05-01,1815.3
2001-06-01,1819.9
2001-07-01,1812.0
2001-08-01,1809.5
2001-09-01,1797.0
2001-10-01,1789.7
2001-11-01,1788.6
2001-12-01,1784.7
2002-01-01,1745.6
2002-02-01,1739.6
2002-03-01,1737.0
2002-04-01,1731.1
2002-05-01,1731.7
2002-06-01,1745.0
2002-07-01,1736.0
2002-08-01,1735.7
2002-09-01,1732.4
2002-10-01,1729.2
2002-11-01,1728.4
2002-12-01,1725.1
2003-01-01,1695.5
2003-02-01,1694.5
2003-03-01,1698.9
2003-04-01,1705.0
2003-05-01,1712.1
2003-06-01,1720.3
2003-07-01,1729.9
2003-08-01,1727.8
2003-09-01,1729.4
2003-10-01,1730.4
2003-11-01,1739.5
2003-12-01,1743.6
2004-01-01,1725.4
2004-02-01,1726.0
2004-03-01,1734.9
2004-04-01,1744.7
2004-05-01,1754.5
2004-06-01,1769.6
2004-07-01,1780.8
2004-08-01,1773.2
2004-09-01,1763.0
2004-10-01,1765.6
2004-11-01,1779.3
2004-12-01,1784.5
2005-01-01,1768.6
2005-02-01,1767.3
2005-03-01,1774.4
2005-04-01,1784.2
2005-05-01,1791.9
2005-06-01,1812.6
2005-07-01,1818.6
2005-08-01,1810.6
2005-09-01,1797.3
2005-10-01,1800.4
2005-11-01,1803.9
2005-12-01,1814.0
2006-01-01,1817.3
2006-02-01,1818.5
2006-03-01,1825.6
2006-04-01,1833.4
2006-05-01,1845.7
2006-06-01,1862.1
2006-07-01,1873.2
2006-08-01,1866.1
2006-09-01,1858.6
2006-10-01,1855.0
2006-11-01,1867.1
2006-12-01,1873.2
2007-01-01,1865.8
2007-02-01,1865.9
2007-03-01,1873.2
2007-04-01,1881.6
2007-05-01,1898.3
2007-06-01,1913.1
2007-07-01,1922.9
2007-08-01,1924.2
2007-09-01,1924.8
2007-10-01,1930.5
2007-11-01,1938.0
2007-12-01,1952.0
2008-01-01,1935.0
2008-02-01,1935.1
2008-03-01,1938.2
2008-04-01,1938.1
2008-05-01,1945.5
2008-06-01,1964.5
2008-07-01,1961.4
2008-08-01,1963.9
2008-09-01,1948.4
2008-10-01,1951.0
2008-11-01,1947.3
2008-12-01,1943.3
2009-01-01,1937.2
2009-02-01,1927.9
2009-03-01,1925.9
2009-04-01,1911.5
2009-05-01,1907.3
2009-06-01,1912.7
2009-07-01,1914.5
2009-08-01,1916.6
2009-09-01,1897.7
2009-10-01,1896.3
2009-11-01,1895.8
2009-12-01,1900.6
2010-01-01,1888.4
2010-02-01,1889.7
2010-03-01,1896.4
2010-04-01,1900.6
2010-05-01,1908.5
2010-06-01,1930.2
2010-07-01,1929.4
2010-08-01,1935.2
2010-09-01,1934.0
2010-10-01,1934.0
2010-11-01,1939.0
2010-12-01,1947.9
2011-01-01,1935.2
2011-02-01,1935.5
2011-03-01,1947.8
2011-04-01,1951.8
2011-05-01,1971.0
2011-06-01,1989.2
2011-07-01,1995.0
2011-08-01,2001.4
2011-09-01,2003.0
2011-10-01,2011.0
2011-11-01,2019.2
2011-12-01,2034.5
2012-01-01,2031.4
2012-02-01,2030.9
2012-03-01,2044.5
2012-04-01,2047.5
