observation_date,CEU3200000001
1939-01-01,4595
1939-02-01,4665
1939-03-01,4714
1939-04-01,4681
1939-05-01,4645
1939-06-01,4659
1939-07-01,4743
1939-08-01,4951
1939-09-01,5044
1939-10-01,5050
1939-11-01,4948
1939-12-01,4862
1940-01-01,4763
1940-02-01,4801
1940-03-01,4772
1940-04-01,4697
1940-05-01,4640
1940-06-01,4654
1940-07-01,4733
1940-08-01,4934
1940-09-01,5018
1940-10-01,5032
1940-11-01,4999
1940-12-01,5020
1941-01-01,4948
1941-02-01,5042
1941-03-01,5109
1941-04-01,5175
1941-05-01,5227
1941-06-01,5316
1941-07-01,5443
1941-08-01,5600
1941-09-01,5649
1941-10-01,5594
1941-11-01,5521
1941-12-01,5493
1942-01-01,5394
1942-02-01,5445
1942-03-01,5468
1942-04-01,5473
1942-05-01,5457
1942-06-01,5442
1942-07-01,5529
1942-08-01,5630
1942-09-01,5709
1942-10-01,5629
1942-11-01,5579
1942-12-01,5584
1943-01-01,5539
1943-02-01,5555
1943-03-01,5559
1943-04-01,5529
1943-05-01,5502
1943-06-01,5559
1943-07-01,5611
1943-08-01,5669
1943-09-01,5621
1943-10-01,5585
1943-11-01,5573
1943-12-01,5532
1944-01-01,5487
1944-02-01,5519
1944-03-01,5507
1944-04-01,5469
1944-05-01,5449
1944-06-01,5500
1944-07-01,5548
1944-08-01,5598
1944-09-01,5584
1944-10-01,5569
1944-11-01,5561
1944-12-01,5578
1945-01-01,5532
1945-02-01,5542
1945-03-01,5533
1945-04-01,5499
1945-05-01,5476
1945-06-01,5512
1945-07-01,5482
1945-08-01,5497
1945-09-01,5515
1945-10-01,5519
1945-11-01,5540
1945-12-01,5628
1946-01-01,5679
1946-02-01,5797
1946-03-01,5861
1946-04-01,5893
1946-05-01,5890
1946-06-01,5951
1946-07-01,5982
1946-08-01,6129
1946-09-01,6176
1946-10-01,6104
1946-11-01,6143
1946-12-01,6136
1947-01-01,6160
1947-02-01,6151
1947-03-01,6132
1947-04-01,6062
1947-05-01,5999
1947-06-01,6017
1947-07-01,6104
1947-08-01,6341
1947-09-01,6447
1947-10-01,6393
1947-11-01,6350
1947-12-01,6342
1948-01-01,6281
1948-02-01,6281
1948-03-01,6265
1948-04-01,6087
1948-05-01,6085
1948-06-01,6250
1948-07-01,6273
1948-08-01,6458
1948-09-01,6578
1948-10-01,6435
1948-11-01,6323
1948-12-01,6232
1949-01-01,6073
1949-02-01,6059
1949-03-01,6002
1949-04-01,5891
1949-05-01,5821
1949-06-01,5875
1949-07-01,5895
1949-08-01,6188
1949-09-01,6262
1949-10-01,6252
1949-11-01,6101
1949-12-01,6068
1950-01-01,5987
1950-02-01,6014
1950-03-01,6027
1950-04-01,5966
1950-05-01,5957
1950-06-01,6050
1950-07-01,6142
1950-08-01,6475
1950-09-01,6568
1950-10-01,6504
1950-11-01,6394
1950-12-01,6364
1951-01-01,6344
1951-02-01,6388
1951-03-01,6338
1951-04-01,6258
1951-05-01,6206
1951-06-01,6292
1951-07-01,6309
1951-08-01,6468
1951-09-01,6474
1951-10-01,6371
1951-11-01,6270
1951-12-01,6265
1952-01-01,6183
1952-02-01,6200
1952-03-01,6187
1952-04-01,6119
1952-05-01,6062
1952-06-01,6185
1952-07-01,6266
1952-08-01,6495
1952-09-01,6585
1952-10-01,6533
1952-11-01,6480
1952-12-01,6450
1953-01-01,6367
1953-02-01,6385
1953-03-01,6395
1953-04-01,6344
1953-05-01,6337
1953-06-01,6430
1953-07-01,6460
1953-08-01,6637
1953-09-01,6656
1953-10-01,6536
1953-11-01,6413
1953-12-01,6326
1954-01-01,6190
1954-02-01,6190
1954-03-01,6194
1954-04-01,6109
1954-05-01,6067
1954-06-01,6144
1954-07-01,6150
1954-08-01,6354
1954-09-01,6429
1954-10-01,6357
1954-11-01,6294
1954-12-01,6267
1955-01-01,6181
1955-02-01,6204
1955-03-01,6241
1955-04-01,6210
1955-05-01,6212
1955-06-01,6320
1955-07-01,6324
1955-08-01,6551
1955-09-01,6585
1955-10-01,6556
1955-11-01,6507
1955-12-01,6468
1956-01-01,6358
1956-02-01,6380
1956-03-01,6370
1956-04-01,6313
1956-05-01,6310
1956-06-01,6381
1956-07-01,6356
1956-08-01,6582
1956-09-01,6615
1956-10-01,6559
1956-11-01,6444
1956-12-01,6417
1957-01-01,6306
1957-02-01,6297
1957-03-01,6308
1957-04-01,6254
1957-05-01,6233
1957-06-01,6302
1957-07-01,6318
1957-08-01,6499
1957-09-01,6540
1957-10-01,6445
1957-11-01,6351
1957-12-01,6295
1958-01-01,6176
1958-02-01,6137
1958-03-01,6064
1958-04-01,6002
1958-05-01,6007
1958-06-01,6101
1958-07-01,6120
1958-08-01,6329
1958-09-01,6374
1958-10-01,6321
1958-11-01,6263
1958-12-01,6220
1959-01-01,6163
1959-02-01,6174
1959-03-01,6198
1959-04-01,6177
1959-05-01,6202
1959-06-01,6317
1959-07-01,6343
1959-08-01,6561
1959-09-01,6596
1959-10-01,6497
1959-11-01,6436
1959-12-01,6376
1960-01-01,6290
1960-02-01,6297
1960-03-01,6306
1960-04-01,6289
1960-05-01,6293
1960-06-01,6372
1960-07-01,6372
1960-08-01,6542
1960-09-01,6555
1960-10-01,6470
1960-11-01,6364
1960-12-01,6249
1961-01-01,6151
1961-02-01,6153
1961-03-01,6174
1961-04-01,6159
1961-05-01,6172
1961-06-01,6287
1961-07-01,6294
1961-08-01,6495
1961-09-01,6502
1961-10-01,6462
1961-11-01,6401
1961-12-01,6347
1962-01-01,6247
1962-02-01,6265
1962-03-01,6285
1962-04-01,6314
1962-05-01,6310
1962-06-01,6408
1962-07-01,6406
1962-08-01,6593
1962-09-01,6613
1962-10-01,6539
1962-11-01,6446
1962-12-01,6360
1963-01-01,6262
1963-02-01,6264
1963-03-01,6297
1963-04-01,6301
1963-05-01,6326
1963-06-01,6398
1963-07-01,6412
1963-08-01,6595
1963-09-01,6600
1963-10-01,6557
1963-11-01,6454
1963-12-01,6396
1964-01-01,6298
1964-02-01,6330
1964-03-01,6338
1964-04-01,6333
1964-05-01,6365
1964-06-01,6464
1964-07-01,6464
1964-08-01,6658
1964-09-01,6683
1964-10-01,6634
1964-11-01,6587
1964-12-01,6535
1965-01-01,6450
1965-02-01,6474
1965-03-01,6509
1965-04-01,6493
1965-05-01,6518
1965-06-01,6629
1965-07-01,6643
1965-08-01,6822
1965-09-01,6839
1965-10-01,6815
1965-11-01,6790
1965-12-01,6744
1966-01-01,6638
1966-02-01,6700
1966-03-01,6733
1966-04-01,6739
1966-05-01,6774
1966-06-01,6917
1966-07-01,6891
1966-08-01,7099
1966-09-01,7058
1966-10-01,7028
1966-11-01,7001
1966-12-01,6952
1967-01-01,6863
1967-02-01,6853
1967-03-01,6850
1967-04-01,6831
1967-05-01,6805
1967-06-01,6935
1967-07-01,6888
1967-08-01,7084
1967-09-01,7109
1967-10-01,7077
1967-11-01,7037
1967-12-01,7002
1968-01-01,6870
1968-02-01,6911
1968-03-01,6929
1968-04-01,6928
1968-05-01,6964
1968-06-01,7121
1968-07-01,7060
1968-08-01,7277
1968-09-01,7260
1968-10-01,7231
1968-11-01,7184
1968-12-01,7150
1969-01-01,7000
1969-02-01,7057
1969-03-01,7086
1969-04-01,7071
1969-05-01,7086
1969-06-01,7228
1969-07-01,7177
1969-08-01,7375
1969-09-01,7327
1969-10-01,7270
1969-11-01,7248
1969-12-01,7200
1970-01-01,7103
1970-02-01,7101
1970-03-01,7092
1970-04-01,7050
1970-05-01,6996
1970-06-01,7126
1970-07-01,7068
1970-08-01,7217
1970-09-01,7179
1970-10-01,7088
1970-11-01,7032
1970-12-01,6978
1971-01-01,6862
1971-02-01,6857
1971-03-01,6856
1971-04-01,6848
1971-05-01,6876
1971-06-01,6968
1971-07-01,6896
1971-08-01,7080
1971-09-01,7095
1971-10-01,7027
1971-11-01,7010
1971-12-01,6958
1972-01-01,6861
1972-02-01,6886
1972-03-01,6916
1972-04-01,6918
1972-05-01,6950
1972-06-01,7092
1972-07-01,6986
1972-08-01,7191
1972-09-01,7201
1972-10-01,7176
1972-11-01,7162
1972-12-01,7130
1973-01-01,7041
1973-02-01,7071
1973-03-01,7096
1973-04-01,7089
1973-05-01,7096
1973-06-01,7221
1973-07-01,7111
1973-08-01,7312
1973-09-01,7304
1973-10-01,7289
1973-11-01,7269
1973-12-01,7208
1974-01-01,7095
1974-02-01,7084
1974-03-01,7079
1974-04-01,7044
1974-05-01,7070
1974-06-01,7170
1974-07-01,7073
1974-08-01,7251
1974-09-01,7227
1974-10-01,7120
1974-11-01,6983
1974-12-01,6792
1975-01-01,6563
1975-02-01,6452
1975-03-01,6408
1975-04-01,6419
1975-05-01,6485
1975-06-01,6600
1975-07-01,6568
1975-08-01,6809
1975-09-01,6867
1975-10-01,6880
1975-11-01,6852
1975-12-01,6815
1976-01-01,6753
1976-02-01,6782
1976-03-01,6811
1976-04-01,6838
1976-05-01,6818
1976-06-01,6913
1976-07-01,6846
1976-08-01,7009
1976-09-01,7068
1976-10-01,6995
1976-11-01,6961
1976-12-01,6900
1977-01-01,6833
1977-02-01,6864
1977-03-01,6899
1977-04-01,6937
1977-05-01,6985
1977-06-01,7107
1977-07-01,7025
1977-08-01,7187
1977-09-01,7208
1977-10-01,7154
1977-11-01,7127
1977-12-01,7091
1978-01-01,7013
1978-02-01,7030
1978-03-01,7073
1978-04-01,7085
1978-05-01,7116
1978-06-01,7229
1978-07-01,7126
1978-08-01,7283
1978-09-01,7293
1978-10-01,7245
1978-11-01,7242
1978-12-01,7214
1979-01-01,7138
1979-02-01,7132
1979-03-01,7158
1979-04-01,7149
1979-05-01,7177
1979-06-01,7274
1979-07-01,7180
1979-08-01,7313
1979-09-01,7302
1979-10-01,7268
1979-11-01,7216
1979-12-01,7166
1980-01-01,7094
1980-02-01,7052
1980-03-01,7062
1980-04-01,7040
1980-05-01,7026
1980-06-01,7055
1980-07-01,6922
1980-08-01,7118
1980-09-01,7130
1980-10-01,7086
1980-11-01,7051
1980-12-01,7009
1981-01-01,6925
1981-02-01,6938
1981-03-01,6950
1981-04-01,6965
1981-05-01,7006
1981-06-01,7085
1981-07-01,7034
1981-08-01,7157
1981-09-01,7175
1981-10-01,7086
1981-11-01,7021
1981-12-01,6933
1982-01-01,6801
1982-02-01,6803
1982-03-01,6770
1982-04-01,6739
1982-05-01,6748
1982-06-01,6779
1982-07-01,6675
1982-08-01,6816
1982-09-01,6825
1982-10-01,6759
1982-11-01,6689
1982-12-01,6627
1983-01-01,6562
1983-02-01,6562
1983-03-01,6579
1983-04-01,6607
1983-05-01,6654
1983-06-01,6749
1983-07-01,6708
1983-08-01,6842
1983-09-01,6887
1983-10-01,6864
1983-11-01,6844
1983-12-01,6808
1984-01-01,6758
1984-02-01,6783
1984-03-01,6809
1984-04-01,6835
1984-05-01,6862
1984-06-01,6932
1984-07-01,6878
1984-08-01,6984
1984-09-01,6963
1984-10-01,6924
1984-11-01,6880
1984-12-01,6837
1985-01-01,6760
1985-02-01,6750
1985-03-01,6750
1985-04-01,6742
1985-05-01,6749
1985-06-01,6813
1985-07-01,6753
1985-08-01,6866
1985-09-01,6860
1985-10-01,6818
1985-11-01,6788
1985-12-01,6763
1986-01-01,6693
1986-02-01,6695
1986-03-01,6696
1986-04-01,6699
1986-05-01,6717
1986-06-01,6790
1986-07-01,6723
1986-08-01,6828
1986-09-01,6844
1986-10-01,6820
1986-11-01,6798
1986-12-01,6780
1987-01-01,6709
1987-02-01,6719
1987-03-01,6733
1987-04-01,6754
1987-05-01,6780
1987-06-01,6854
1987-07-01,6850
1987-08-01,6942
1987-09-01,6960
1987-10-01,6940
1987-11-01,6942
1987-12-01,6918
1988-01-01,6858
1988-02-01,6868
1988-03-01,6876
1988-04-01,6879
1988-05-01,6904
1988-06-01,6984
1988-07-01,6923
1988-08-01,7009
1988-09-01,7007
1988-10-01,6997
1988-11-01,6987
1988-12-01,6958
1989-01-01,6901
1989-02-01,6905
1989-03-01,6917
1989-04-01,6918
1989-05-01,6940
1989-06-01,7021
1989-07-01,6980
1989-08-01,7076
1989-09-01,7066
1989-10-01,7040
1989-11-01,7020
1989-12-01,6992
1990-01-01,6927
1990-02-01,6916
1990-03-01,6910
1990-04-01,6922
1990-05-01,6925
1990-06-01,7001
1990-07-01,6953
1990-08-01,7057
1990-09-01,7050
1990-10-01,7001
1990-11-01,6938
1990-12-01,6890
1991-01-01,6802
1991-02-01,6786
1991-03-01,6767
1991-04-01,6755
1991-05-01,6783
1991-06-01,6863
1991-07-01,6830
1991-08-01,6962
1991-09-01,6956
1991-10-01,6926
1991-11-01,6891
1991-12-01,6855
1992-01-01,6774
1992-02-01,6763
1992-03-01,6758
1992-04-01,6784
1992-05-01,6812
1992-06-01,6893
1992-07-01,6889
1992-08-01,6959
1992-09-01,6950
1992-10-01,6913
1992-11-01,6881
1992-12-01,6859
1993-01-01,6796
1993-02-01,6805
1993-03-01,6806
1993-04-01,6807
1993-05-01,6841
1993-06-01,6909
1993-07-01,6889
1993-08-01,6973
1993-09-01,6962
1993-10-01,6930
1993-11-01,6895
1993-12-01,6855
1994-01-01,6784
1994-02-01,6795
1994-03-01,6804
1994-04-01,6810
1994-05-01,6843
1994-06-01,6921
1994-07-01,6902
1994-08-01,7002
1994-09-01,6989
1994-10-01,6967
1994-11-01,6935
1994-12-01,6911
1995-01-01,6854
1995-02-01,6849
1995-03-01,6839
1995-04-01,6840
1995-05-01,6851
1995-06-01,6915
1995-07-01,6861
1995-08-01,6952
1995-09-01,6929
1995-10-01,6887
1995-11-01,6842
1995-12-01,6798
1996-01-01,6704
1996-02-01,6725
1996-03-01,6721
1996-04-01,6699
1996-05-01,6725
1996-06-01,6772
1996-07-01,6743
1996-08-01,6835
1996-09-01,6813
1996-10-01,6789
1996-11-01,6754
1996-12-01,6730
1997-01-01,6661
1997-02-01,6670
1997-03-01,6676
1997-04-01,6670
1997-05-01,6697
1997-06-01,6746
1997-07-01,6700
1997-08-01,6786
1997-09-01,6775
1997-10-01,6750
1997-11-01,6728
1997-12-01,6713
1998-01-01,6641
1998-02-01,6642
1998-03-01,6644
1998-04-01,6634
1998-05-01,6647
1998-06-01,6694
1998-07-01,6649
1998-08-01,6702
1998-09-01,6697
1998-10-01,6640
1998-11-01,6608
1998-12-01,6586
1999-01-01,6517
1999-02-01,6496
1999-03-01,6478
1999-04-01,6463
1999-05-01,6479
1999-06-01,6515
1999-07-01,6483
1999-08-01,6528
1999-09-01,6510
1999-10-01,6491
1999-11-01,6477
1999-12-01,6449
2000-01-01,6376
2000-02-01,6382
2000-03-01,6386
2000-04-01,6392
2000-05-01,6387
2000-06-01,6433
2000-07-01,6404
2000-08-01,6433
2000-09-01,6402
2000-10-01,6375
2000-11-01,6344
2000-12-01,6322
2001-01-01,6237
2001-02-01,6211
2001-03-01,6201
2001-04-01,6167
2001-05-01,6154
2001-06-01,6170
2001-07-01,6115
2001-08-01,6102
2001-09-01,6057
2001-10-01,6003
2001-11-01,5947
2001-12-01,5901
2002-01-01,5818
2002-02-01,5795
2002-03-01,5789
2002-04-01,5773
2002-05-01,5779
2002-06-01,5822
2002-07-01,5794
2002-08-01,5800
2002-09-01,5787
2002-10-01,5747
2002-11-01,5714
2002-12-01,5671
2003-01-01,5611
2003-02-01,5592
2003-03-01,5587
2003-04-01,5553
2003-05-01,5561
2003-06-01,5583
2003-07-01,5550
2003-08-01,5560
2003-09-01,5542
2003-10-01,5508
2003-11-01,5465
2003-12-01,5438
2004-01-01,5373
2004-02-01,5358
2004-03-01,5374
2004-04-01,5372
2004-05-01,5402
2004-06-01,5435
2004-07-01,5432
2004-08-01,5435
2004-09-01,5415
2004-10-01,5389
2004-11-01,5361
2004-12-01,5333
2005-01-01,5258
2005-02-01,5253
2005-03-01,5269
2005-04-01,5252
2005-05-01,5271
2005-06-01,5307
2005-07-01,5309
2005-08-01,5307
2005-09-01,5286
2005-10-01,5260
2005-11-01,5247
2005-12-01,5230
2006-01-01,5173
2006-02-01,5169
2006-03-01,5171
2006-04-01,5162
2006-05-01,5169
2006-06-01,5218
2006-07-01,5218
2006-08-01,5218
2006-09-01,5195
2006-10-01,5157
2006-11-01,5135
2006-12-01,5103
2007-01-01,5064
2007-02-01,5052
2007-03-01,5050
2007-04-01,5036
2007-05-01,5061
2007-06-01,5111
2007-07-01,5113
2007-08-01,5108
2007-09-01,5098
2007-10-01,5068
2007-11-01,5050
2007-12-01,5040
2008-01-01,4979
2008-02-01,4963
2008-03-01,4960
2008-04-01,4951
2008-05-01,4968
2008-06-01,4995
2008-07-01,4982
2008-08-01,4990
2008-09-01,4965
2008-10-01,4914
2008-11-01,4859
2008-12-01,4788
2009-01-01,4673
2009-02-01,4619
2009-03-01,4580
2009-04-01,4556
2009-05-01,4552
2009-06-01,4574
2009-07-01,4555
2009-08-01,4571
2009-09-01,4567
2009-10-01,4536
2009-11-01,4505
2009-12-01,4475
2010-01-01,4414
2010-02-01,4408
2010-03-01,4407
2010-04-01,4421
2010-05-01,4452
2010-06-01,4503
2010-07-01,4506
2010-08-01,4522
2010-09-01,4506
2010-10-01,4489
2010-11-01,4474
2010-12-01,4464
2011-01-01,4400
2011-02-01,4401
2011-03-01,4412
2011-04-01,4425
2011-05-01,4437
2011-06-01,4478
2011-07-01,4499
2011-08-01,4520
