observation_date,CEU8000000001
1939-01-01,535
1939-02-01,535
1939-03-01,541
1939-04-01,547
1939-05-01,557
1939-06-01,563
1939-07-01,563
1939-08-01,564
1939-09-01,567
1939-10-01,556
1939-11-01,552
1939-12-01,552
1940-01-01,555
1940-02-01,557
1940-03-01,564
1940-04-01,573
1940-05-01,581
1940-06-01,586
1940-07-01,586
1940-08-01,590
1940-09-01,592
1940-10-01,588
1940-11-01,583
1940-12-01,583
1941-01-01,588
1941-02-01,590
1941-03-01,598
1941-04-01,610
1941-05-01,620
1941-06-01,625
1941-07-01,628
1941-08-01,631
1941-09-01,632
1941-10-01,626
1941-11-01,623
1941-12-01,621
1942-01-01,625
1942-02-01,622
1942-03-01,629
1942-04-01,638
1942-05-01,645
1942-06-01,651
1942-07-01,652
1942-08-01,654
1942-09-01,654
1942-10-01,647
1942-11-01,640
1942-12-01,636
1943-01-01,640
1943-02-01,640
1943-03-01,645
1943-04-01,649
1943-05-01,656
1943-06-01,662
1943-07-01,659
1943-08-01,658
1943-09-01,660
1943-10-01,654
1943-11-01,651
1943-12-01,649
1944-01-01,646
1944-02-01,645
1944-03-01,651
1944-04-01,653
1944-05-01,657
1944-06-01,665
1944-07-01,661
1944-08-01,660
1944-09-01,660
1944-10-01,652
1944-11-01,649
1944-12-01,645
1945-01-01,644
1945-02-01,644
1945-03-01,648
1945-04-01,651
1945-05-01,656
1945-06-01,667
1945-07-01,669
1945-08-01,673
1945-09-01,676
1945-10-01,677
1945-11-01,681
1945-12-01,685
1946-01-01,695
1946-02-01,700
1946-03-01,713
1946-04-01,725
1946-05-01,735
1946-06-01,746
1946-07-01,747
1946-08-01,751
1946-09-01,764
1946-10-01,758
1946-11-01,758
1946-12-01,757
1947-01-01,763
1947-02-01,765
1947-03-01,771
1947-04-01,780
1947-05-01,788
1947-06-01,798
1947-07-01,800
1947-08-01,798
1947-09-01,804
1947-10-01,799
1947-11-01,796
1947-12-01,793
1948-01-01,789
1948-02-01,788
1948-03-01,794
1948-04-01,808
1948-05-01,816
1948-06-01,826
1948-07-01,827
1948-08-01,826
1948-09-01,829
1948-10-01,818
1948-11-01,814
1948-12-01,811
1949-01-01,801
1949-02-01,800
1949-03-01,804
1949-04-01,817
1949-05-01,826
1949-06-01,832
1949-07-01,834
1949-08-01,831
1949-09-01,835
1949-10-01,826
1949-11-01,821
1949-12-01,818
1950-01-01,809
1950-02-01,810
1950-03-01,815
1950-04-01,831
1950-05-01,842
1950-06-01,852
1950-07-01,856
1950-08-01,858
1950-09-01,858
1950-10-01,850
1950-11-01,846
1950-12-01,843
1951-01-01,841
1951-02-01,842
1951-03-01,850
1951-04-01,863
1951-05-01,873
1951-06-01,882
1951-07-01,887
1951-08-01,889
1951-09-01,886
1951-10-01,878
1951-11-01,875
1951-12-01,871
1952-01-01,867
1952-02-01,870
1952-03-01,874
1952-04-01,889
1952-05-01,899
1952-06-01,906
1952-07-01,909
1952-08-01,910
1952-09-01,907
1952-10-01,901
1952-11-01,896
1952-12-01,894
1953-01-01,885
1953-02-01,887
1953-03-01,894
1953-04-01,911
1953-05-01,920
1953-06-01,930
1953-07-01,933
1953-08-01,933
1953-09-01,933
1953-10-01,926
1953-11-01,920
1953-12-01,915
1954-01-01,906
1954-02-01,907
1954-03-01,912
1954-04-01,930
1954-05-01,938
1954-06-01,948
1954-07-01,954
1954-08-01,953
1954-09-01,954
1954-10-01,947
1954-11-01,942
