observation_date,CEU6561000001
1990-01-01,1647.6
1990-02-01,1770.2
1990-03-01,1771.0
1990-04-01,1758.2
1990-05-01,1702.2
1990-06-01,1541.4
1990-07-01,1466.6
1990-08-01,1460.7
1990-09-01,1669.1
1990-10-01,1813.3
1990-11-01,1841.8
1990-12-01,1813.5
1991-01-01,1720.6
1991-02-01,1836.6
1991-03-01,1847.4
1991-04-01,1842.3
1991-05-01,1764.2
1991-06-01,1576.1
1991-07-01,1507.0
1991-08-01,1490.4
1991-09-01,1706.0
1991-10-01,1853.2
1991-11-01,1868.0
1991-12-01,1826.8
1992-01-01,1710.9
1992-02-01,1823.9
1992-03-01,1821.7
1992-04-01,1822.1
1992-05-01,1727.3
1992-06-01,1562.1
1992-07-01,1491.4
1992-08-01,1466.3
1992-09-01,1677.6
1992-10-01,1819.0
1992-11-01,1833.6
1992-12-01,1800.8
1993-01-01,1684.6
1993-02-01,1810.0
1993-03-01,1815.2
1993-04-01,1830.5
1993-05-01,1763.7
1993-06-01,1592.8
1993-07-01,1539.5
1993-08-01,1528.7
1993-09-01,1751.9
1993-10-01,1899.8
1993-11-01,1938.9
1993-12-01,1908.8
1994-01-01,1797.7
1994-02-01,1938.9
1994-03-01,1964.3
1994-04-01,1975.7
1994-05-01,1909.2
1994-06-01,1725.2
1994-07-01,1664.4
1994-08-01,1648.6
1994-09-01,1896.6
1994-10-01,2056.3
1994-11-01,2096.5
1994-12-01,2065.3
1995-01-01,1931.6
1995-02-01,2099.4
1995-03-01,2115.2
1995-04-01,2118.7
1995-05-01,2038.9
1995-06-01,1836.4
1995-07-01,1763.1
1995-08-01,1750.3
1995-09-01,1984.4
1995-10-01,2157.2
1995-11-01,2183.3
1995-12-01,2144.4
1996-01-01,1993.0
1996-02-01,2165.9
1996-03-01,2183.3
1996-04-01,2188.1
1996-05-01,2095.7
1996-06-01,1898.4
1996-07-01,1834.3
1996-08-01,1808.9
1996-09-01,2043.2
1996-10-01,2230.6
1996-11-01,2268.4
1996-12-01,2220.9
1997-01-01,2075.2
1997-02-01,2246.8
1997-03-01,2260.3
1997-04-01,2270.7
1997-05-01,2174.1
1997-06-01,1966.1
1997-07-01,1896.7
1997-08-01,1871.6
1997-09-01,2130.1
1997-10-01,2316.1
1997-11-01,2351.0
1997-12-01,2301.2
1998-01-01,2149.8
1998-02-01,2330.7
1998-03-01,2345.9
1998-04-01,2350.6
1998-05-01,2249.4
1998-06-01,2036.0
1998-07-01,1959.6
1998-08-01,1925.7
1998-09-01,2196.7
1998-10-01,2406.9
1998-11-01,2445.6
1998-12-01,2397.7
1999-01-01,2227.3
1999-02-01,2427.8
1999-03-01,2444.7
1999-04-01,2454.3
1999-05-01,2351.5
1999-06-01,2123.5
1999-07-01,2043.7
1999-08-01,2015.5
1999-09-01,2280.9
1999-10-01,2485.0
1999-11-01,2522.8
1999-12-01,2468.2
2000-01-01,2284.4
2000-02-01,2473.7
2000-03-01,2501.7
2000-04-01,2503.8
2000-05-01,2421.2
2000-06-01,2199.6
2000-07-01,2115.9
2000-08-01,2102.2
2000-09-01,2373.4
2000-10-01,2550.2
2000-11-01,2595.5
2000-12-01,2563.0
2001-01-01,2376.4
2001-02-01,2589.6
2001-03-01,2620.5
2001-04-01,2621.1
2001-05-01,2563.3
2001-06-01,2307.1
2001-07-01,2220.3
2001-08-01,2209.6
2001-09-01,2495.5
2001-10-01,2697.8
2001-11-01,2734.5
2001-12-01,2691.5
2002-01-01,2505.2
2002-02-01,2736.0
2002-03-01,2757.5
2002-04-01,2759.3
2002-05-01,2678.0
2002-06-01,2472.7
2002-07-01,2387.2
2002-08-01,2344.5
2002-09-01,2615.2
2002-10-01,2815.7
2002-11-01,2849.5
2002-12-01,2792.9
2003-01-01,2592.6
2003-02-01,2803.9
2003-03-01,2817.1
2003-04-01,2836.7
2003-05-01,2747.0
2003-06-01,2481.7
2003-07-01,2388.5
2003-08-01,2353.5
2003-09-01,2642.0
2003-10-01,2883.8
2003-11-01,2920.3
2003-12-01,2874.3
2004-01-01,2670.7
2004-02-01,2879.4
2004-03-01,2904.1
2004-04-01,2914.3
2004-05-01,2811.9
2004-06-01,2536.4
2004-07-01,2451.1
2004-08-01,2415.2
2004-09-01,2695.9
2004-10-01,2950.3
2004-11-01,2979.7
2004-12-01,2941.4
2005-01-01,2746.8
2005-02-01,2939.3
2005-03-01,2960.5
2005-04-01,2975.1
2005-05-01,2881.3
2005-06-01,2624.5
2005-07-01,2518.2
2005-08-01,2502.7
2005-09-01,2815.7
2005-10-01,3010.2
2005-11-01,3052.0
2005-12-01,3003.5
2006-01-01,2798.5
2006-02-01,3038.8
2006-03-01,3052.0
2006-04-01,3058.1
2006-05-01,2959.2
2006-06-01,2666.7
2006-07-01,2555.4
2006-08-01,2555.0
2006-09-01,2884.9
2006-10-01,3077.4
2006-11-01,3114.0
2006-12-01,3050.9
2007-01-01,2836.1
2007-02-01,3056.0
2007-03-01,3077.5
2007-04-01,3080.4
2007-05-01,2982.2
2007-06-01,2727.6
2007-07-01,2619.1
2007-08-01,2622.5
2007-09-01,2905.3
2007-10-01,3128.9
2007-11-01,3154.4
2007-12-01,3106.4
2008-01-01,2907.0
2008-02-01,3137.1
2008-03-01,3153.1
2008-04-01,3167.5
2008-05-01,3053.6
2008-06-01,2856.4
2008-07-01,2760.6
2008-08-01,2773.5
2008-09-01,3013.9
2008-10-01,3214.8
2008-11-01,3245.6
2008-12-01,3193.7
2009-01-01,3025.8
2009-02-01,3227.3
2009-03-01,3232.7
2009-04-01,3232.8
2009-05-01,3125.3
2009-06-01,2903.5
2009-07-01,2794.4
2009-08-01,2779.8
2009-09-01,3018.3
2009-10-01,3240.7
2009-11-01,3276.8
2009-12-01,3227.5
2010-01-01,3038.3
2010-02-01,3253.9
2010-03-01,3284.8
2010-04-01,3296.1
2010-05-01,3185.8
2010-06-01,2962.5
2010-07-01,2871.0
2010-08-01,2853.9
2010-09-01,3103.3
2010-10-01,3330.2
2010-11-01,3376.4
2010-12-01,3305.0
2011-01-01,3128.0
2011-02-01,3365.0
2011-03-01,3368.0
2011-04-01,3400.7
2011-05-01,3271.9
2011-06-01,3027.9
2011-07-01,2951.4
2011-08-01,2938.6
2011-09-01,3219.9
2011-10-01,3426.0
2011-11-01,3479.2
2011-12-01,3418.1
2012-01-01,3216.3
2012-02-01,3481.8
2012-03-01,3503.9
2012-04-01,3508.9
2012-05-01,3398.4
2012-06-01,3130.0
2012-07-01,3052.0
2012-08-01,3043.0
2012-09-01,3300.4
2012-10-01,3492.7
2012-11-01,3516.4
2012-12-01,3448.8
2013-01-01,3232.9
2013-02-01,3464.7
2013-03-01,3497.6
2013-04-01,3511.1
2013-05-01,3394.3
2013-06-01,3143.7
2013-07-01,3068.5
2013-08-01,3070.3
2013-09-01,3301.9
2013-10-01,3520.8
2013-11-01,3562.9
2013-12-01,3484.4
2014-01-01,3296.8
2014-02-01,3529.8
2014-03-01,3555.4
2014-04-01,3574.6
2014-05-01,3439.7
2014-06-01,3225.6
2014-07-01,3122.7
2014-08-01,3119.0
2014-09-01,3385.0
2014-10-01,3592.3
2014-11-01,3615.1
2014-12-01,3543.4
2015-01-01,3338.1
2015-02-01,3591.1
2015-03-01,3615.3
2015-04-01,3631.8
2015-05-01,3497.8
2015-06-01,3262.0
2015-07-01,3175.0
2015-08-01,3153.8
2015-09-01,3424.5
2015-10-01,3654.6
2015-11-01,3689.0
2015-12-01,3630.0
2016-01-01,3402.8
2016-02-01,3665.3
2016-03-01,3697.1
2016-04-01,3734.4
2016-05-01,3610.2
2016-06-01,3361.2
2016-07-01,3256.2
2016-08-01,3253.2
2016-09-01,3558.6
2016-10-01,3769.1
2016-11-01,3803.3
2016-12-01,3722.5
2017-01-01,3494.3
2017-02-01,3804.7
2017-03-01,3819.2
2017-04-01,3831.3
2017-05-01,3711.3
2017-06-01,3433.2
2017-07-01,3345.0
2017-08-01,3363.8
2017-09-01,3667.3
2017-10-01,3851.3
2017-11-01,3892.9
2017-12-01,3806.4
2018-01-01,3588.3
2018-02-01,3866.7
2018-03-01,3866.3
2018-04-01,3874.9
2018-05-01,3746.7
2018-06-01,3509.3
2018-07-01,3410.0
2018-08-01,3437.0
2018-09-01,3686.3
2018-10-01,3876.1
2018-11-01,3894.4
2018-12-01,3822.2
2019-01-01,3619.5
2019-02-01,3877.2
2019-03-01,3879.0
2019-04-01,3901.4
2019-05-01,3758.7
2019-06-01,3530.9
2019-07-01,3439.4
2019-08-01,3460.2
2019-09-01,3726.7
2019-10-01,3907.6
2019-11-01,3942.4
2019-12-01,3853.8
2020-01-01,3697.3
2020-02-01,3927.6
2020-03-01,3850.3
2020-04-01,3420.1
2020-05-01,3314.9
2020-06-01,3186.1
2020-07-01,3122.7
2020-08-01,3196.2
2020-09-01,3405.4
2020-10-01,3575.5
2020-11-01,3595.6
2020-12-01,3449.6
2021-01-01,3371.4
2021-02-01,3594.8
2021-03-01,3659.1
2021-04-01,3676.4
2021-05-01,3569.9
2021-06-01,3379.9
2021-07-01,3337.8
2021-08-01,3369.1
2021-09-01,3614.1
2021-10-01,3822.6
2021-11-01,3861.5
2021-12-01,3781.9
2022-01-01,3604.9
2022-02-01,3852.0
2022-03-01,3884.0
2022-04-01,3893.6
2022-05-01,3771.4
2022-06-01,3555.1
2022-07-01,3500.8
2022-08-01,3524.2
2022-09-01,3779.7
2022-10-01,3925.9
2022-11-01,3963.0
2022-12-01,3830.4
2023-01-01,3679.8
2023-02-01,3928.9
2023-03-01,3931.5
2023-04-01,3950.0
2023-05-01,3856.9
2023-06-01,3627.0
2023-07-01,3546.4
2023-08-01,3567.4
2023-09-01,3826.4
2023-10-01,3976.5
2023-11-01,4013.4
2023-12-01,3907.2
2024-01-01,3763.6
2024-02-01,3999.9
2024-03-01,3992.7
2024-04-01,4015.7
2024-05-01,3879.4
2024-06-01,3678.9
2024-07-01,3577.4
2024-08-01,3616.2
2024-09-01,3879.6
2024-10-01,4036.2
2024-11-01,4077.7
