observation_date,CEU6054000001
1990-01-01,4522.2
1990-02-01,4588.4
1990-03-01,4614.3
1990-04-01,4612.6
1990-05-01,4525.1
1990-06-01,4583.2
1990-07-01,4583.7
1990-08-01,4579.7
1990-09-01,4534.0
1990-10-01,4548.1
1990-11-01,4543.1
1990-12-01,4540.9
1991-01-01,4553.2
1991-02-01,4586.0
1991-03-01,4588.6
1991-04-01,4575.1
1991-05-01,4477.8
1991-06-01,4521.2
1991-07-01,4523.3
1991-08-01,4523.7
1991-09-01,4507.2
1991-10-01,4515.7
1991-11-01,4520.9
1991-12-01,4530.1
1992-01-01,4572.3
1992-02-01,4608.8
1992-03-01,4625.4
1992-04-01,4630.8
1992-05-01,4553.6
1992-06-01,4595.4
1992-07-01,4599.3
1992-08-01,4597.0
1992-09-01,4579.9
1992-10-01,4607.1
1992-11-01,4613.3
1992-12-01,4631.9
1993-01-01,4682.8
1993-02-01,4730.0
1993-03-01,4745.3
1993-04-01,4741.1
1993-05-01,4658.0
1993-06-01,4706.1
1993-07-01,4715.6
1993-08-01,4707.1
1993-09-01,4695.2
1993-10-01,4715.4
1993-11-01,4733.6
1993-12-01,4745.7
1994-01-01,4786.0
1994-02-01,4829.7
1994-03-01,4843.3
1994-04-01,4861.1
1994-05-01,4772.8
1994-06-01,4830.2
1994-07-01,4853.0
1994-08-01,4856.5
1994-09-01,4853.3
1994-10-01,4874.4
1994-11-01,4904.1
1994-12-01,4931.7
1995-01-01,5003.1
1995-02-01,5076.1
1995-03-01,5104.8
1995-04-01,5115.1
1995-05-01,5038.8
1995-06-01,5108.9
1995-07-01,5117.8
1995-08-01,5125.9
1995-09-01,5109.7
1995-10-01,5132.8
1995-11-01,5156.3
1995-12-01,5180.3
1996-01-01,5233.5
1996-02-01,5308.3
1996-03-01,5333.9
1996-04-01,5334.9
1996-05-01,5271.3
1996-06-01,5331.2
1996-07-01,5346.9
1996-08-01,5360.7
1996-09-01,5343.6
1996-10-01,5375.5
1996-11-01,5410.4
1996-12-01,5437.3
1997-01-01,5504.7
1997-02-01,5580.0
1997-03-01,5608.8
1997-04-01,5646.3
1997-05-01,5574.1
1997-06-01,5642.9
1997-07-01,5673.7
1997-08-01,5695.4
1997-09-01,5679.5
1997-10-01,5726.7
1997-11-01,5760.4
1997-12-01,5797.6
1998-01-01,5869.2
1998-02-01,5941.2
1998-03-01,5978.3
1998-04-01,6007.9
1998-05-01,5949.6
1998-06-01,6021.5
1998-07-01,6056.1
1998-08-01,6056.8
1998-09-01,6038.1
1998-10-01,6075.8
1998-11-01,6115.7
1998-12-01,6150.9
1999-01-01,6225.5
1999-02-01,6285.8
1999-03-01,6314.7
1999-04-01,6358.6
1999-05-01,6282.8
1999-06-01,6375.6
1999-07-01,6414.0
1999-08-01,6419.5
1999-09-01,6400.6
1999-10-01,6442.5
1999-11-01,6476.0
1999-12-01,6510.0
2000-01-01,6591.5
2000-02-01,6663.1
2000-03-01,6680.9
2000-04-01,6702.9
2000-05-01,6624.9
2000-06-01,6731.6
2000-07-01,6754.9
2000-08-01,6773.4
2000-09-01,6751.2
2000-10-01,6794.2
2000-11-01,6834.5
2000-12-01,6881.8
2001-01-01,6942.7
2001-02-01,7019.9
2001-03-01,7046.5
2001-04-01,7019.5
2001-05-01,6899.2
2001-06-01,6947.4
2001-07-01,6930.7
2001-08-01,6897.2
2001-09-01,6800.1
2001-10-01,6789.6
2001-11-01,6758.5
2001-12-01,6764.5
2002-01-01,6768.7
2002-02-01,6788.1
2002-03-01,6759.2
2002-04-01,6740.0
2002-05-01,6654.1
2002-06-01,6682.9
2002-07-01,6669.8
2002-08-01,6668.9
2002-09-01,6600.6
2002-10-01,6629.1
2002-11-01,6613.0
2002-12-01,6592.6
2003-01-01,6660.2
2003-02-01,6736.8
2003-03-01,6703.9
2003-04-01,6701.0
2003-05-01,6581.1
2003-06-01,6612.4
2003-07-01,6588.2
2003-08-01,6580.1
2003-09-01,6559.1
2003-10-01,6609.2
2003-11-01,6638.9
2003-12-01,6672.7
2004-01-01,6705.6
2004-02-01,6753.5
2004-03-01,6780.4
2004-04-01,6794.2
2004-05-01,6688.6
2004-06-01,6770.5
2004-07-01,6780.8
2004-08-01,6782.0
2004-09-01,6763.0
2004-10-01,6833.9
2004-11-01,6846.7
2004-12-01,6911.0
2005-01-01,6942.2
2005-02-01,7022.4
2005-03-01,7034.6
2005-04-01,7058.9
2005-05-01,6945.6
2005-06-01,7044.8
2005-07-01,7060.0
2005-08-01,7081.5
2005-09-01,7064.4
2005-10-01,7122.6
2005-11-01,7166.3
2005-12-01,7230.1
2006-01-01,7268.2
2006-02-01,7342.0
2006-03-01,7380.6
2006-04-01,7402.9
2006-05-01,7293.4
2006-06-01,7388.9
2006-07-01,7417.4
2006-08-01,7422.2
2006-09-01,7390.4
2006-10-01,7440.7
2006-11-01,7489.1
2006-12-01,7555.8
2007-01-01,7587.1
2007-02-01,7673.8
2007-03-01,7682.7
2007-04-01,7705.4
2007-05-01,7601.5
2007-06-01,7684.3
2007-07-01,7692.3
2007-08-01,7695.3
2007-09-01,7697.7
2007-10-01,7759.3
2007-11-01,7789.3
2007-12-01,7885.5
2008-01-01,7889.7
2008-02-01,7943.7
2008-03-01,7928.5
2008-04-01,7931.7
2008-05-01,7789.2
2008-06-01,7837.8
2008-07-01,7831.8
2008-08-01,7805.3
2008-09-01,7760.8
2008-10-01,7811.3
2008-11-01,7800.7
2008-12-01,7813.3
2009-01-01,7752.0
2009-02-01,7753.3
2009-03-01,7696.3
2009-04-01,7668.4
2009-05-01,7487.3
2009-06-01,7487.4
2009-07-01,7483.7
2009-08-01,7449.5
2009-09-01,7411.8
2009-10-01,7462.5
2009-11-01,7467.1
2009-12-01,7515.6
2010-01-01,7500.0
2010-02-01,7542.9
2010-03-01,7511.9
2010-04-01,7539.1
2010-05-01,7379.3
2010-06-01,7424.6
2010-07-01,7449.2
2010-08-01,7458.5
2010-09-01,7400.0
2010-10-01,7475.2
2010-11-01,7538.8
2010-12-01,7609.6
2011-01-01,7604.0
2011-02-01,7679.9
2011-03-01,7714.4
2011-04-01,7748.8
2011-05-01,7645.1
2011-06-01,7701.3
2011-07-01,7708.5
2011-08-01,7709.2
2011-09-01,7679.7
2011-10-01,7741.2
2011-11-01,7771.3
2011-12-01,7846.3
2012-01-01,7846.3
2012-02-01,7933.2
2012-03-01,7930.8
2012-04-01,7958.6
2012-05-01,7849.4
2012-06-01,7911.1
2012-07-01,7929.8
2012-08-01,7937.2
2012-09-01,7907.2
2012-10-01,7980.0
2012-11-01,8013.9
2012-12-01,8088.1
2013-01-01,8061.0
2013-02-01,8151.5
2013-03-01,8174.6
2013-04-01,8211.0
2013-05-01,8106.1
2013-06-01,8143.1
2013-07-01,8175.3
2013-08-01,8169.9
2013-09-01,8121.5
2013-10-01,8203.0
2013-11-01,8248.1
2013-12-01,8273.6
2014-01-01,8267.9
2014-02-01,8352.2
2014-03-01,8359.4
2014-04-01,8398.3
2014-05-01,8298.2
2014-06-01,8354.9
2014-07-01,8397.6
2014-08-01,8391.6
2014-09-01,8345.1
2014-10-01,8434.1
2014-11-01,8477.6
2014-12-01,8548.8
2015-01-01,8531.2
2015-02-01,8618.8
2015-03-01,8632.1
2015-04-01,8675.6
2015-05-01,8570.4
2015-06-01,8633.6
2015-07-01,8684.3
2015-08-01,8675.7
2015-09-01,8612.0
2015-10-01,8714.6
2015-11-01,8753.3
2015-12-01,8799.0
2016-01-01,8804.4
2016-02-01,8869.1
2016-03-01,8865.1
2016-04-01,8899.0
2016-05-01,8802.5
2016-06-01,8857.9
2016-07-01,8898.3
2016-08-01,8887.0
2016-09-01,8840.9
2016-10-01,8923.2
2016-11-01,8944.9
2016-12-01,8976.7
2017-01-01,8965.2
2017-02-01,9035.4
2017-03-01,9022.4
2017-04-01,9072.1
2017-05-01,8972.6
2017-06-01,9036.1
2017-07-01,9076.4
2017-08-01,9076.3
2017-09-01,9015.8
2017-10-01,9102.3
2017-11-01,9149.1
2017-12-01,9169.7
2018-01-01,9149.1
2018-02-01,9232.8
2018-03-01,9235.0
2018-04-01,9276.0
2018-05-01,9195.7
2018-06-01,9262.0
2018-07-01,9306.3
2018-08-01,9308.1
2018-09-01,9241.9
2018-10-01,9350.6
2018-11-01,9402.9
2018-12-01,9419.4
2019-01-01,9384.9
2019-02-01,9470.4
2019-03-01,9479.6
2019-04-01,9520.2
2019-05-01,9439.0
2019-06-01,9514.9
2019-07-01,9582.6
2019-08-01,9576.6
2019-09-01,9506.0
2019-10-01,9610.6
2019-11-01,9667.2
2019-12-01,9676.7
2020-01-01,9639.4
2020-02-01,9739.8
2020-03-01,9694.1
2020-04-01,9200.2
2020-05-01,9147.9
2020-06-01,9265.8
2020-07-01,9323.9
2020-08-01,9353.5
2020-09-01,9321.5
2020-10-01,9465.8
2020-11-01,9494.2
2020-12-01,9576.4
2021-01-01,9577.3
2021-02-01,9682.2
2021-03-01,9710.6
2021-04-01,9795.7
2021-05-01,9749.3
2021-06-01,9826.4
2021-07-01,9948.2
2021-08-01,9984.1
2021-09-01,9966.0
2021-10-01,10127.1
2021-11-01,10200.3
2021-12-01,10261.6
2022-01-01,10225.7
2022-02-01,10332.2
2022-03-01,10371.8
2022-04-01,10441.8
2022-05-01,10392.8
2022-06-01,10497.5
2022-07-01,10587.6
2022-08-01,10574.6
2022-09-01,10513.7
2022-10-01,10653.9
2022-11-01,10680.2
2022-12-01,10712.8
2023-01-01,10651.0
2023-02-01,10731.5
2023-03-01,10727.0
2023-04-01,10799.3
2023-05-01,10756.8
2023-06-01,10835.6
2023-07-01,10898.4
2023-08-01,10870.2
2023-09-01,10795.6
2023-10-01,10908.2
2023-11-01,10941.8
2023-12-01,10984.7
2024-01-01,10917.6
2024-02-01,10983.8
2024-03-01,10963.4
2024-04-01,11007.5
2024-05-01,10974.6
2024-06-01,11035.7
2024-07-01,11075.5
2024-08-01,11024.6
2024-09-01,10942.9
2024-10-01,11047.1
2024-11-01,11077.0
