observation_date,CEU9092000001
1955-01-01,1159
1955-02-01,1156
1955-03-01,1156
1955-04-01,1164
1955-05-01,1174
1955-06-01,1169
1955-07-01,1135
1955-08-01,1135
1955-09-01,1174
1955-10-01,1199
1955-11-01,1203
1955-12-01,1194
1956-01-01,1194
1956-02-01,1213
1956-03-01,1225
1956-04-01,1230
1956-05-01,1258
1956-06-01,1259
1956-07-01,1229
1956-08-01,1233
1956-09-01,1258
1956-10-01,1294
1956-11-01,1299
1956-12-01,1301
1957-01-01,1307
1957-02-01,1314
1957-03-01,1321
1957-04-01,1332
1957-05-01,1337
1957-06-01,1338
1957-07-01,1299
1957-08-01,1295
1957-09-01,1325
1957-10-01,1351
1957-11-01,1359
1957-12-01,1361
1958-01-01,1378
1958-02-01,1385
1958-03-01,1395
1958-04-01,1405
1958-05-01,1415
1958-06-01,1412
1958-07-01,1396
1958-08-01,1397
1958-09-01,1424
1958-10-01,1459
1958-11-01,1459
1958-12-01,1459
1959-01-01,1474
1959-02-01,1483
1959-03-01,1489
1959-04-01,1493
1959-05-01,1494
1959-06-01,1480
1959-07-01,1448
1959-08-01,1437
1959-09-01,1481
1959-10-01,1508
1959-11-01,1513
1959-12-01,1513
1960-01-01,1508
1960-02-01,1517
1960-03-01,1522
1960-04-01,1531
1960-05-01,1537
1960-06-01,1537
1960-07-01,1506
1960-08-01,1499
1960-09-01,1544
1960-10-01,1573
1960-11-01,1577
1960-12-01,1578
1961-01-01,1580
1961-02-01,1595
1961-03-01,1602
1961-04-01,1610
1961-05-01,1621
1961-06-01,1609
1961-07-01,1566
1961-08-01,1576
1961-09-01,1612
1961-10-01,1643
1961-11-01,1640
1961-12-01,1633
1962-01-01,1628
1962-02-01,1648
1962-03-01,1657
1962-04-01,1663
1962-05-01,1673
1962-06-01,1674
1962-07-01,1629
1962-08-01,1623
1962-09-01,1670
1962-10-01,1716
1962-11-01,1722
1962-12-01,1720
1963-01-01,1723
1963-02-01,1735
1963-03-01,1738
1963-04-01,1740
1963-05-01,1744
1963-06-01,1731
1963-07-01,1699
1963-08-01,1693
1963-09-01,1745
1963-10-01,1797
1963-11-01,1808
1963-12-01,1808
1964-01-01,1812
1964-02-01,1829
1964-03-01,1845
1964-04-01,1853
1964-05-01,1861
1964-06-01,1852
1964-07-01,1809
1964-08-01,1806
1964-09-01,1847
1964-10-01,1909
1964-11-01,1927
1964-12-01,1923
1965-01-01,1921
1965-02-01,1946
1965-03-01,1970
1965-04-01,1979
1965-05-01,1989
1965-06-01,1994
1965-07-01,1952
1965-08-01,1952
1965-09-01,2010
1965-10-01,2066
1965-11-01,2086
1965-12-01,2086
1966-01-01,2078
1966-02-01,2100
1966-03-01,2117
1966-04-01,2119
1966-05-01,2126
1966-06-01,2144
1966-07-01,2099
1966-08-01,2078
1966-09-01,2138
1966-10-01,2210
1966-11-01,2239
1966-12-01,2242
1967-01-01,2250
1967-02-01,2274
1967-03-01,2294
1967-04-01,2302
1967-05-01,2304
1967-06-01,2311
1967-07-01,2237
1967-08-01,2223
1967-09-01,2269
1967-10-01,2368
1967-11-01,2397
1967-12-01,2393
1968-01-01,2395
1968-02-01,2426
1968-03-01,2436
1968-04-01,2436
1968-05-01,2440
1968-06-01,2439
1968-07-01,2361
1968-08-01,2351
1968-09-01,2416
1968-10-01,2520
1968-11-01,2549
1968-12-01,2531
1969-01-01,2494
1969-02-01,2527
1969-03-01,2542
1969-04-01,2540
1969-05-01,2551
1969-06-01,2543
1969-07-01,2439
1969-08-01,2417
1969-09-01,2483
1969-10-01,2607
1969-11-01,2628
1969-12-01,2627
1970-01-01,2616
1970-02-01,2655
1970-03-01,2675
1970-04-01,2678
1970-05-01,2682
1970-06-01,2656
1970-07-01,2568
1970-08-01,2551
1970-09-01,2610
1970-10-01,2748
1970-11-01,2766
1970-12-01,2768
1971-01-01,2735
1971-02-01,2760
1971-03-01,2784
1971-04-01,2785
1971-05-01,2776
1971-06-01,2733
1971-07-01,2625
1971-08-01,2615
1971-09-01,2672
1971-10-01,2810
1971-11-01,2838
1971-12-01,2835
1972-01-01,2815
1972-02-01,2869
1972-03-01,2900
1972-04-01,2897
1972-05-01,2913
1972-06-01,2813
1972-07-01,2724
1972-08-01,2720
1972-09-01,2810
1972-10-01,2935
1972-11-01,2962
1972-12-01,2954
1973-01-01,2905
1973-02-01,2971
1973-03-01,2978
1973-04-01,2962
1973-05-01,2961
1973-06-01,2889
1973-07-01,2775
1973-08-01,2759
1973-09-01,2855
1973-10-01,2990
1973-11-01,3020
1973-12-01,3005
1974-01-01,2978
1974-02-01,3069
1974-03-01,3086
1974-04-01,3087
1974-05-01,3071
1974-06-01,2969
1974-07-01,2871
1974-08-01,2882
1974-09-01,2986
1974-10-01,3127
1974-11-01,3175
1974-12-01,3163
1975-01-01,3145
1975-02-01,3251
1975-03-01,3259
1975-04-01,3258
1975-05-01,3221
1975-06-01,3121
1975-07-01,3000
1975-08-01,3008
1975-09-01,3113
1975-10-01,3246
1975-11-01,3269
1975-12-01,3260
1976-01-01,3211
1976-02-01,3286
1976-03-01,3312
1976-04-01,3312
1976-05-01,3279
1976-06-01,3195
1976-07-01,3122
1976-08-01,3115
1976-09-01,3220
1976-10-01,3389
1976-11-01,3421
1976-12-01,3413
1977-01-01,3337
1977-02-01,3420
1977-03-01,3427
1977-04-01,3434
1977-05-01,3415
1977-06-01,3332
1977-07-01,3211
1977-08-01,3197
1977-09-01,3331
1977-10-01,3461
1977-11-01,3490
1977-12-01,3469
1978-01-01,3416
1978-02-01,3516
1978-03-01,3548
1978-04-01,3555
1978-05-01,3531
1978-06-01,3405
1978-07-01,3301
1978-08-01,3292
1978-09-01,3419
1978-10-01,3553
1978-11-01,3582
1978-12-01,3564
1979-01-01,3474
1979-02-01,3583
1979-03-01,3607
1979-04-01,3599
1979-05-01,3564
1979-06-01,3442
1979-07-01,3368
1979-08-01,3375
1979-09-01,3512
1979-10-01,3639
1979-11-01,3681
1979-12-01,3646
1980-01-01,3554
1980-02-01,3655
1980-03-01,3688
1980-04-01,3690
1980-05-01,3658
1980-06-01,3509
1980-07-01,3439
1980-08-01,3438
1980-09-01,3556
1980-10-01,3700
1980-11-01,3727
1980-12-01,3706
1981-01-01,3610
1981-02-01,3720
1981-03-01,3731
1981-04-01,3721
1981-05-01,3684
1981-06-01,3535
1981-07-01,3454
1981-08-01,3444
1981-09-01,3574
1981-10-01,3731
1981-11-01,3749
1981-12-01,3730
1982-01-01,3619
1982-02-01,3727
1982-03-01,3744
1982-04-01,3735
1982-05-01,3696
1982-06-01,3557
1982-07-01,3437
1982-08-01,3427
1982-09-01,3558
1982-10-01,3718
1982-11-01,3740
1982-12-01,3719
1983-01-01,3626
1983-02-01,3735
1983-03-01,3746
1983-04-01,3746
1983-05-01,3703
1983-06-01,3563
1983-07-01,3478
1983-08-01,3474
1983-09-01,3604
1983-10-01,3752
1983-11-01,3773
1983-12-01,3749
1984-01-01,3648
1984-02-01,3777
1984-03-01,3793
1984-04-01,3799
1984-05-01,3772
1984-06-01,3634
1984-07-01,3547
1984-08-01,3557
1984-09-01,3702
1984-10-01,3852
1984-11-01,3883
1984-12-01,3849
1985-01-01,3755
1985-02-01,3886
1985-03-01,3914
1985-04-01,3912
1985-05-01,3874
1985-06-01,3718
1985-07-01,3635
1985-08-01,3629
1985-09-01,3790
1985-10-01,3955
1985-11-01,3978
1985-12-01,3935
1986-01-01,3836
1986-02-01,3965
1986-03-01,3976
1986-04-01,3981
1986-05-01,3940
1986-06-01,3776
1986-07-01,3678
1986-08-01,3669
1986-09-01,3828
1986-10-01,4009
1986-11-01,4040
1986-12-01,4015
1987-01-01,3909
