observation_date,CEU4300000001
1972-01-01,2577.6
1972-02-01,2576.7
1972-03-01,2603.7
1972-04-01,2606.6
1972-05-01,2625.9
1972-06-01,2674.0
1972-07-01,2651.5
1972-08-01,2653.4
1972-09-01,2688.2
1972-10-01,2699.6
1972-11-01,2707.3
1972-12-01,2711.8
1973-01-01,2647.8
1973-02-01,2647.9
1973-03-01,2673.2
1973-04-01,2689.2
1973-05-01,2709.3
1973-06-01,2741.8
1973-07-01,2720.7
1973-08-01,2731.8
1973-09-01,2770.2
1973-10-01,2777.4
1973-11-01,2771.8
1973-12-01,2760.0
1974-01-01,2725.2
1974-02-01,2716.9
1974-03-01,2726.7
1974-04-01,2733.9
1974-05-01,2758.1
1974-06-01,2787.0
1974-07-01,2766.7
1974-08-01,2762.3
1974-09-01,2778.3
1974-10-01,2780.5
1974-11-01,2770.1
1974-12-01,2744.4
1975-01-01,2647.9
1975-02-01,2603.5
1975-03-01,2594.7
1975-04-01,2594.1
1975-05-01,2617.3
1975-06-01,2628.7
1975-07-01,2612.4
1975-08-01,2619.4
1975-09-01,2647.4
1975-10-01,2643.3
1975-11-01,2642.6
1975-12-01,2620.6
1976-01-01,2588.9
1976-02-01,2590.9
1976-03-01,2609.4
1976-04-01,2632.8
1976-05-01,2657.4
1976-06-01,2695.4
1976-07-01,2684.6
1976-08-01,2683.6
1976-09-01,2730.9
1976-10-01,2708.6
1976-11-01,2712.0
1976-12-01,2732.8
1977-01-01,2673.0
1977-02-01,2672.1
1977-03-01,2686.2
1977-04-01,2720.8
1977-05-01,2760.4
1977-06-01,2793.0
1977-07-01,2781.8
1977-08-01,2784.8
1977-09-01,2845.5
1977-10-01,2823.7
1977-11-01,2828.1
1977-12-01,2842.9
1978-01-01,2780.4
1978-02-01,2782.4
1978-03-01,2815.5
1978-04-01,2857.6
1978-05-01,2888.5
1978-06-01,2935.4
1978-07-01,2871.3
1978-08-01,2887.4
1978-09-01,2939.1
1978-10-01,2966.6
1978-11-01,2985.7
1978-12-01,3001.1
1979-01-01,2927.4
1979-02-01,2933.4
1979-03-01,2955.0
1979-04-01,2886.6
1979-05-01,2995.5
1979-06-01,3061.3
1979-07-01,3023.7
1979-08-01,3028.6
1979-09-01,3066.1
1979-10-01,3070.2
1979-11-01,3071.5
1979-12-01,3067.5
1980-01-01,2977.0
1980-02-01,2963.7
1980-03-01,2969.9
1980-04-01,2969.1
1980-05-01,2975.2
1980-06-01,2972.2
1980-07-01,2929.1
1980-08-01,2932.6
1980-09-01,2968.1
1980-10-01,2973.4
1980-11-01,2961.2
1980-12-01,2966.6
1981-01-01,2890.8
1981-02-01,2890.2
1981-03-01,2904.4
1981-04-01,2925.8
1981-05-01,2943.9
1981-06-01,2968.1
1981-07-01,2940.0
1981-08-01,2945.4
1981-09-01,2976.2
1981-10-01,2962.2
1981-11-01,2941.9
1981-12-01,2924.5
1982-01-01,2827.6
1982-02-01,2815.5
1982-03-01,2815.8
1982-04-01,2820.4
1982-05-01,2852.1
1982-06-01,2857.8
1982-07-01,2810.6
1982-08-01,2801.2
1982-09-01,2828.5
1982-10-01,2817.2
1982-11-01,2790.5
1982-12-01,2790.6
1983-01-01,2689.2
1983-02-01,2677.5
1983-03-01,2698.1
1983-04-01,2734.6
1983-05-01,2771.4
1983-06-01,2798.7
1983-07-01,2789.9
1983-08-01,2781.1
1983-09-01,2856.8
1983-10-01,2858.5
1983-11-01,2830.4
1983-12-01,2847.1
1984-01-01,2812.8
1984-02-01,2828.1
