observation_date,CEU4422000001
1964-01-01,471.3
1964-02-01,470.8
1964-03-01,471.2
1964-04-01,472.4
1964-05-01,474.3
1964-06-01,480.2
1964-07-01,488.6
1964-08-01,488.7
1964-09-01,482.6
1964-10-01,477.4
1964-11-01,476.4
1964-12-01,477.4
1965-01-01,476.3
1965-02-01,476.6
1965-03-01,477.5
1965-04-01,479.5
1965-05-01,480.5
1965-06-01,489.5
1965-07-01,493.8
1965-08-01,497.8
1965-09-01,491.1
1965-10-01,484.5
1965-11-01,481.4
1965-12-01,483.4
1966-01-01,481.9
1966-02-01,480.7
1966-03-01,482.0
1966-04-01,482.0
1966-05-01,482.9
1966-06-01,495.1
1966-07-01,502.0
1966-08-01,502.9
1966-09-01,494.5
1966-10-01,488.3
1966-11-01,487.8
1966-12-01,488.8
1967-01-01,488.9
1967-02-01,489.4
1967-03-01,491.1
1967-04-01,491.3
1967-05-01,492.4
1967-06-01,503.6
1967-07-01,513.0
1967-08-01,512.1
1967-09-01,506.3
1967-10-01,499.8
1967-11-01,499.5
1967-12-01,499.8
1968-01-01,499.7
1968-02-01,500.0
1968-03-01,500.7
1968-04-01,500.8
1968-05-01,503.2
1968-06-01,517.3
1968-07-01,522.9
1968-08-01,524.1
1968-09-01,514.1
1968-10-01,508.9
1968-11-01,507.9
1968-12-01,495.8
1969-01-01,510.8
1969-02-01,510.8
1969-03-01,510.4
1969-04-01,511.8
1969-05-01,508.9
1969-06-01,524.2
1969-07-01,536.9
1969-08-01,537.2
1969-09-01,527.3
1969-10-01,521.1
1969-11-01,520.6
1969-12-01,524.1
1970-01-01,524.9
1970-02-01,525.3
1970-03-01,527.3
1970-04-01,530.0
1970-05-01,529.7
1970-06-01,544.3
1970-07-01,553.4
1970-08-01,553.7
1970-09-01,542.7
1970-10-01,535.5
1970-11-01,536.5
1970-12-01,532.7
1971-01-01,531.3
1971-02-01,531.9
1971-03-01,532.1
1971-04-01,532.4
1971-05-01,534.7
1971-06-01,548.0
1971-07-01,556.1
1971-08-01,554.9
1971-09-01,545.5
1971-10-01,541.4
1971-11-01,541.9
1971-12-01,539.3
1972-01-01,541.2
1972-02-01,545.7
1972-03-01,547.7
1972-04-01,549.4
1972-05-01,552.4
1972-06-01,567.1
1972-07-01,571.1
1972-08-01,571.0
1972-09-01,561.6
1972-10-01,558.6
1972-11-01,559.5
1972-12-01,560.3
1973-01-01,560.5
1973-02-01,560.5
1973-03-01,563.1
1973-04-01,562.5
1973-05-01,567.8
