observation_date,CEU4142000001
1939-01-01,1474.8
1939-02-01,1470.6
1939-03-01,1463.2
1939-04-01,1461.7
1939-05-01,1460.0
1939-06-01,1473.6
1939-07-01,1471.8
1939-08-01,1491.3
1939-09-01,1520.4
1939-10-01,1553.6
1939-11-01,1553.7
1939-12-01,1562.6
1940-01-01,1539.8
1940-02-01,1536.4
1940-03-01,1546.8
1940-04-01,1530.7
1940-05-01,1526.6
1940-06-01,1541.9
1940-07-01,1537.5
1940-08-01,1557.3
1940-09-01,1577.0
1940-10-01,1586.7
1940-11-01,1606.3
1940-12-01,1624.5
1941-01-01,1607.8
1941-02-01,1614.8
1941-03-01,1625.2
1941-04-01,1639.1
1941-05-01,1638.5
1941-06-01,1664.9
1941-07-01,1672.6
1941-08-01,1699.7
1941-09-01,1697.5
1941-10-01,1710.4
1941-11-01,1712.2
1941-12-01,1712.6
1942-01-01,1686.6
1942-02-01,1677.5
1942-03-01,1670.1
1942-04-01,1645.9
1942-05-01,1618.3
1942-06-01,1604.1
1942-07-01,1590.8
1942-08-01,1598.8
1942-09-01,1587.3
1942-10-01,1603.6
1942-11-01,1597.2
1942-12-01,1594.4
1943-01-01,1567.8
1943-02-01,1568.9
1943-03-01,1568.3
1943-04-01,1557.6
1943-05-01,1536.5
1943-06-01,1549.4
1943-07-01,1553.7
1943-08-01,1544.5
1943-09-01,1531.1
1943-10-01,1538.1
1943-11-01,1562.8
1943-12-01,1571.4
1944-01-01,1559.8
1944-02-01,1570.7
1944-03-01,1567.2
1944-04-01,1561.1
1944-05-01,1549.1
1944-06-01,1558.5
1944-07-01,1558.4
1944-08-01,1565.9
1944-09-01,1564.9
1944-10-01,1587.7
1944-11-01,1608.8
1944-12-01,1627.0
1945-01-01,1609.5
1945-02-01,1616.2
1945-03-01,1614.7
1945-04-01,1612.7
1945-05-01,1610.0
1945-06-01,1609.7
1945-07-01,1622.8
1945-08-01,1641.9
1945-09-01,1670.3
1945-10-01,1719.4
1945-11-01,1769.3
1945-12-01,1817.5
1946-01-01,1837.5
1946-02-01,1860.3
1946-03-01,1889.8
1946-04-01,1899.0
1946-05-01,1895.8
1946-06-01,1918.8
1946-07-01,1939.2
1946-08-01,1975.0
1946-09-01,1987.0
1946-10-01,2017.5
1946-11-01,2060.0
1946-12-01,2094.1
1947-01-01,2070.6
1947-02-01,2064.7
1947-03-01,2061.5
1947-04-01,2042.9
1947-05-01,2026.0
1947-06-01,2049.6
1947-07-01,2072.2
1947-08-01,2101.7
1947-09-01,2145.9
1947-10-01,2175.6
1947-11-01,2194.3
1947-12-01,2194.8
1948-01-01,2183.9
1948-02-01,2185.5
1948-03-01,2176.3
1948-04-01,2161.1
1948-05-01,2157.6
1948-06-01,2174.5
1948-07-01,2195.6
1948-08-01,2231.1
1948-09-01,2253.2
1948-10-01,2275.2
1948-11-01,2287.9
1948-12-01,2276.5
1949-01-01,2244.3
1949-02-01,2228.9
1949-03-01,2213.6
1949-04-01,2195.1
1949-05-01,2172.8
1949-06-01,2179.5
1949-07-01,2161.6
1949-08-01,2199.6
1949-09-01,2223.5
1949-10-01,2240.0
1949-11-01,2229.2
1949-12-01,2236.7
1950-01-01,2208.9
1950-02-01,2194.4
1950-03-01,2185.4
1950-04-01,2178.9
1950-05-01,2177.6
1950-06-01,2197.2
1950-07-01,2220.8
1950-08-01,2269.3
1950-09-01,2293.2
1950-10-01,2314.5
1950-11-01,2311.4
1950-12-01,2312.0
1951-01-01,2288.4
1951-02-01,2293.6
1951-03-01,2293.9
1951-04-01,2287.0
1951-05-01,2277.8
1951-06-01,2291.5
1951-07-01,2306.4
1951-08-01,2312.4
1951-09-01,2315.9
1951-10-01,2352.3
1951-11-01,2392.9
1951-12-01,2398.5
1952-01-01,2367.2
1952-02-01,2371.5
1952-03-01,2372.4
1952-04-01,2356.6
1952-05-01,2351.5
1952-06-01,2368.0
1952-07-01,2375.4
